analysis_timestamp_utc,run_id,workload,config,dim,n_seeds,mean_gap,sd_gap,var_floor,epsilon_run,n_ref,delta_ref,dim_sufficient
2026-07-05T13:58:56Z,20260705T135856Z,job,mixed,S_R,50,0.31885714285714284,0.09060121278677227,0.020223481392557027,0.04041543227113334,15,0.07875287834229754,False
2026-07-05T13:58:56Z,20260705T135856Z,job,mixed,S_V,50,0.2441904761904762,0.02386368960217665,0.012521955448846205,0.03180206680199502,15,0.06196900929054202,False
2026-07-05T13:58:56Z,20260705T135856Z,job,mixed,S_T,50,0.2757142857142857,0.07299069297236371,0.019312375616913433,0.03949454530191812,15,0.07695845241689646,False
2026-07-05T13:58:56Z,20260705T135856Z,job,mixed,S_A,50,0.2477142857142857,0.056939953986130123,0.015707656395891688,0.03561844574980589,15,0.06940554553661658,False
2026-07-05T13:58:56Z,20260705T135856Z,job,mixed,S_P,50,0.2441904761904762,0.02386368960217665,0.012521955448846205,0.03180206680199502,15,0.06196900929054202,False
2026-07-05T13:58:56Z,20260705T135856Z,job,template_only,S_R,50,0.0737142857142857,0.060626253372541315,0.0031090249433106576,0.01722979056896363,15,0.0335737000519482,False
2026-07-05T13:58:56Z,20260705T135856Z,job,template_only,S_V,50,0.49104761904761907,0.026862394292534418,0.0007246898759503802,0.007650597697883075,15,0.014907834851430919,False
2026-07-05T13:58:56Z,20260705T135856Z,job,template_only,S_T,50,0.03023809523809527,0.037937751489865716,0.001713373349339736,0.011763736067017506,15,0.022922631858089203,False
2026-07-05T13:58:56Z,20260705T135856Z,job,template_only,S_A,50,0.012571428571428577,0.030082491057450266,0.0012036988128584767,0.009860028822494071,15,0.01921309773702559,True
2026-07-05T13:58:56Z,20260705T135856Z,job,template_only,S_P,50,0.49104761904761907,0.026862394292534418,0.0007246898759503802,0.007650597697883075,15,0.014907834851430919,False
2026-07-05T13:58:56Z,20260705T135856Z,job,volume_only,S_R,50,0.5011904761904762,0.10136197095284055,0.016465063358676806,0.03646707846285603,15,0.07105917795009115,False
2026-07-05T13:58:56Z,20260705T135856Z,job,volume_only,S_V,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,job,volume_only,S_T,50,0.45552380952380955,0.10052668004974259,0.014460546885420835,0.03417524426280277,15,0.06659334572227592,False
2026-07-05T13:58:56Z,20260705T135856Z,job,volume_only,S_A,50,0.4737619047619047,0.08524937354467127,0.006031217820461518,0.024227603894376438,15,0.04720952949900733,False
2026-07-05T13:58:56Z,20260705T135856Z,job,volume_only,S_P,50,0.0,0.0,0.0,0.0,15,0.0,True
2026-07-05T13:58:56Z,20260705T135856Z,pgbench,mixed,S_R,50,0.25000000000000006,1.4052287228021121e-16,0.0125,0.03177417439400683,15,0.0619146585811835,False
