block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.7903846153846155,0.8387159007304061,0,20,20,0,419.127,419.465,47.6797
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,20,20,0,374.751,375.102,53.3188
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.755897435897436,0.8063667544691321,0,20,20,0,540.059,540.304,37.0162
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,20,20,0,309.172,309.52,64.6162
0,9000,dci_gated,5,edge,0,0.6874393769329177,1.0,0.3016702924867819,0.6,0.8287179487179488,0.6765015950382781,1,20,20,0,607.274,607.481,32.9228
0,9000,dci_gated,6,edge,0,0.6918450480558106,1.0,0.4140998731281583,0.6,0.7105128205128206,0.6823581597165074,1,20,20,0,278.932,279.261,71.6177
0,9000,dci_gated,7,geo,1,0.5153485913925353,1.0,0.022466990877118453,0.44285714285714284,0.7555128205128205,0.5352288976719092,1,20,20,0,6538.317,6538.908,3.0586
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.765897435897436,0.7132022917352815,1,20,20,0,1413.155,1413.606,14.1482
0,9000,dci_gated,9,geo,0,0.8665705483050578,1.0,0.6977646956385772,0.75,0.8082051282051282,0.8274263454347492,0,20,20,0,926.547,926.911,21.5771
0,9000,dci_gated,10,geo,0,0.7973074109081197,1.0,0.6658291843309185,0.6166666666666667,0.7476923076923077,0.7679798690803931,1,20,20,0,794.295,794.644,25.1685
0,9000,dci_gated,11,geo,0,0.9433103979010584,1.0,0.7424437907588863,1.0,0.8656410256410257,0.9141625114731958,0,20,20,0,841.111,841.435,23.7689
0,9000,dci_gated,12,geo,0,0.7849231767117696,1.0,0.7663160863244907,0.7,0.6285897435897436,0.7837824729813021,0,20,20,0,832.506,832.895,24.0126
0,9000,dci_gated,13,text,1,0.4614073007367311,1.0,0.005754337467586579,0.19090909090909092,0.7435897435897436,0.4662229723979799,1,20,20,0,1673.195,1673.429,11.9515
0,9000,dci_gated,14,text,0,0.6970242246985601,1.0,0.3297179447770632,0.7,0.7589743589743589,0.6940457989762064,1,20,20,0,707.819,708.013,28.2481
0,9000,dci_gated,15,text,0,0.8030773374698623,1.0,0.40725139762910234,0.75,0.8992307692307693,0.7671042292779015,1,20,20,0,396.721,396.907,50.3896
0,9000,dci_gated,16,text,0,0.8757362432135711,1.0,0.6935533421823562,0.875,0.5638461538461539,0.8172216523167872,0,20,20,0,289.341,289.514,69.0812
0,9000,dci_gated,17,text,0,0.8664380641852442,1.0,0.5273751908101648,0.9,0.6685897435897437,0.8023730157468056,0,20,20,0,576.486,576.632,34.6842
0,9000,dci_gated,18,text,0,0.7918246705700832,1.0,0.37848384407551605,0.8285714285714285,0.8701282051282052,0.7698864529411406,0,20,20,0,204.328,204.497,97.8011
0,9000,dci_gated,19,review,1,0.49804125727054593,1.0,0.05366495443138841,0.3769230769230769,0.7351282051282052,0.5208971513577603,1,20,20,0,21373.609,21373.901,0.9357
0,9000,dci_gated,20,review,0,0.7550484954205989,1.0,0.47291584285270627,0.6444444444444444,0.8307692307692308,0.7368495659299645,1,20,20,0,494.929,495.201,40.3877
0,9000,dci_gated,21,review,0,0.8302545606012963,1.0,0.7108559763665303,0.75,0.7421794871794872,0.8110617585005533,0,20,20,0,657.429,657.653,30.4112
0,9000,dci_gated,22,review,0,0.8001803867492161,1.0,0.6181151803300957,0.7444444444444445,0.8267948717948719,0.7965762524114428,0,20,20,0,549.41,549.602,36.3899
0,9000,dci_gated,23,review,0,0.8177770941500975,1.0,0.644173818745659,0.8,0.6005128205128206,0.7833559603635792,0,20,20,0,367.258,367.469,54.4264
0,9000,dci_gated,24,review,0,0.7885878941648572,1.0,0.6582479744176504,0.7638888888888888,0.7573076923076923,0.7951705000486761,0,20,20,0,323.817,324.02,61.7246
1,9100,dci_gated,1,edge,0,0.7377621311029372,1.0,0.6065163135330657,0.625,0.7403846153846154,0.7418014877900398,0,20,20,0,276.996,277.364,72.1075
1,9100,dci_gated,2,edge,0,0.8023583963705514,1.0,0.7811740311516991,0.75,0.8671794871794872,0.8369013283999008,0,20,20,0,368.121,368.423,54.2854
