analysis_timestamp_utc,run_id,block,window_start,window_end,dci
2026-07-05T13:56:59Z,20260705T135649Z,0,0,50,2.2307795819
2026-07-05T13:56:59Z,20260705T135649Z,1,50,100,2.1253236935
2026-07-05T13:56:59Z,20260705T135649Z,2,100,150,2.1425571841
2026-07-05T13:56:59Z,20260705T135649Z,3,150,200,2.1701093326
2026-07-05T13:56:59Z,20260705T135649Z,4,200,250,1.9496839098
2026-07-05T13:56:59Z,20260705T135649Z,5,250,300,2.1662133041
2026-07-05T13:56:59Z,20260705T135649Z,6,300,350,1.7018831810
2026-07-05T13:56:59Z,20260705T135649Z,7,350,400,2.1778244525
2026-07-05T13:56:59Z,20260705T135649Z,8,400,450,2.1530196162
2026-07-05T13:56:59Z,20260705T135649Z,9,450,500,2.1453623197
2026-07-05T13:56:59Z,20260705T135649Z,10,500,550,1.9013782761
2026-07-05T13:56:59Z,20260705T135649Z,11,550,600,1.4848011688
2026-07-05T13:56:59Z,20260705T135649Z,12,600,650,1.9791325459
2026-07-05T13:56:59Z,20260705T135649Z,13,650,700,1.6414474761
2026-07-05T13:56:59Z,20260705T135649Z,14,700,750,2.1438211663
2026-07-05T13:56:59Z,20260705T135649Z,15,750,800,1.6768584714
2026-07-05T13:56:59Z,20260705T135649Z,16,800,850,1.6761119488
2026-07-05T13:56:59Z,20260705T135649Z,17,850,900,2.0291724132
2026-07-05T13:56:59Z,20260705T135649Z,18,900,950,1.9895342275
2026-07-05T13:56:59Z,20260705T135649Z,19,950,1000,2.0340201464
2026-07-05T13:56:59Z,20260705T135649Z,20,1000,1050,1.8324930174
2026-07-05T13:56:59Z,20260705T135649Z,21,1050,1100,1.9285226166
2026-07-05T13:56:59Z,20260705T135649Z,22,1100,1150,1.7793677922
2026-07-05T13:56:59Z,20260705T135649Z,23,1150,1200,2.0615250300
2026-07-05T13:56:59Z,20260705T135649Z,24,1200,1250,1.8891881791
2026-07-05T13:56:59Z,20260705T135649Z,25,1250,1300,1.8677081210
2026-07-05T13:56:59Z,20260705T135649Z,26,1300,1350,1.8685198484
2026-07-05T13:56:59Z,20260705T135649Z,27,1350,1400,1.7098701859
2026-07-05T13:56:59Z,20260705T135649Z,28,1400,1450,1.8505806796
2026-07-05T13:56:59Z,20260705T135649Z,29,1450,1500,1.9895070315
2026-07-05T13:56:59Z,20260705T135649Z,30,1500,1550,1.7824547499
2026-07-05T13:56:59Z,20260705T135649Z,31,1550,1600,1.5193364339
2026-07-05T13:56:59Z,20260705T135649Z,32,1600,1650,1.3134603258
2026-07-05T13:56:59Z,20260705T135649Z,33,1650,1700,1.6679929308
2026-07-05T13:56:59Z,20260705T135649Z,34,1700,1750,1.4078688509
2026-07-05T13:56:59Z,20260705T135649Z,35,1750,1800,1.7123651680
2026-07-05T13:56:59Z,20260705T135649Z,36,1800,1850,1.5232399410
2026-07-05T13:56:59Z,20260705T135649Z,37,1850,1900,1.6180651662
2026-07-05T13:56:59Z,20260705T135649Z,38,1900,1950,1.4837422748
2026-07-05T13:56:59Z,20260705T135649Z,39,1950,2000,2.0287988828
2026-07-05T13:56:59Z,20260705T135649Z,40,2000,2050,2.0061762154
2026-07-05T13:56:59Z,20260705T135649Z,41,2050,2100,1.9134741153
2026-07-05T13:56:59Z,20260705T135649Z,42,2100,2150,1.4494242857
2026-07-05T13:56:59Z,20260705T135649Z,43,2150,2200,2.3831142519
2026-07-05T13:56:59Z,20260705T135649Z,44,2200,2250,1.7898063686
2026-07-05T13:56:59Z,20260705T135649Z,45,2250,2300,1.5535300239
2026-07-05T13:56:59Z,20260705T135649Z,46,2300,2350,1.7576530809
2026-07-05T13:56:59Z,20260705T135649Z,47,2350,2400,1.5056321216
2026-07-05T13:56:59Z,20260705T135649Z,48,2400,2450,1.7277216733
2026-07-05T13:56:59Z,20260705T135649Z,49,2450,2500,1.7137267949
2026-07-05T13:56:59Z,20260705T135649Z,50,2500,2550,1.6634154928
2026-07-05T13:56:59Z,20260705T135649Z,51,2550,2600,1.9793475025
2026-07-05T13:56:59Z,20260705T135649Z,52,2600,2650,1.8704753403
2026-07-05T13:56:59Z,20260705T135649Z,53,2650,2700,1.7871270139
