analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,3802,1.0000000000,1.0000000000,0.9222756411,1.0000000000,0.7703846154,0.9500128205
2026-07-05T13:56:59Z,20260705T135649Z,3803,0.8048689313,1.0000000000,0.9646740990,0.6666666667,0.8123076923,0.8493315398
2026-07-05T13:56:59Z,20260705T135649Z,3804,0.9694646303,1.0000000000,0.9173898678,1.0000000000,0.8257692308,0.9497095157
2026-07-05T13:56:59Z,20260705T135649Z,3805,0.8308156933,1.0000000000,0.9384884944,0.6666666667,0.7858974359,0.8466195709
2026-07-05T13:56:59Z,20260705T135649Z,3806,0.7677204728,1.0000000000,0.9295534250,0.5000000000,0.8023076923,0.7981869571
2026-07-05T13:56:59Z,20260705T135649Z,3807,0.7233498105,1.0000000000,0.9500849642,0.3333333333,0.7339743590,0.7476172660
2026-07-05T13:56:59Z,20260705T135649Z,3808,0.8048689313,1.0000000000,0.9646740990,0.6666666667,0.6107692308,0.8191007706
2026-07-05T13:56:59Z,20260705T135649Z,3809,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8476923077,0.8123888810
2026-07-05T13:56:59Z,20260705T135649Z,3810,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.8751282051,0.9812692296
2026-07-05T13:56:59Z,20260705T135649Z,3811,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.6207692308,0.9431153834
2026-07-05T13:56:59Z,20260705T135649Z,3812,0.9999999953,1.0000000000,1.0000000000,1.0000000000,0.7933333333,0.9689999988
2026-07-05T13:56:59Z,20260705T135649Z,3813,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.8076923077,0.8063888810
2026-07-05T13:56:59Z,20260705T135649Z,3814,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.7583333333,0.7989850349
2026-07-05T13:56:59Z,20260705T135649Z,3815,0.7677204728,1.0000000000,0.8440417392,0.5000000000,0.7433333333,0.7722384660
2026-07-05T13:56:59Z,20260705T135649Z,3816,0.7911717252,1.0000000000,0.9052184800,0.5000000000,0.8189743590,0.8016827811
2026-07-05T13:56:59Z,20260705T135649Z,3817,0.6937816918,1.0000000000,0.9208946666,0.4000000000,0.7958974359,0.7570089716
2026-07-05T13:56:59Z,20260705T135649Z,3818,0.8048689313,1.0000000000,0.9646740990,0.6666666667,0.8303846154,0.8520430783
2026-07-05T13:56:59Z,20260705T135649Z,3819,0.7525263750,1.0000000000,0.9471067961,0.5000000000,0.7903846154,0.7961106453
2026-07-05T13:56:59Z,20260705T135649Z,3820,0.8225951886,1.0000000000,0.9626090465,0.7500000000,0.7684615385,0.8634398372
2026-07-05T13:56:59Z,20260705T135649Z,3821,0.5800528066,1.0000000000,0.8222510780,0.2000000000,0.6484615385,0.6467326480
2026-07-05T13:56:59Z,20260705T135649Z,3822,0.7221149473,1.0000000000,0.8292275133,0.3333333333,0.7598717949,0.7270216754
