workload,config,seed,dci_raw,dci_white
tpch,template_only,0,1.006416817517787,1.0064168175177868
tpch,template_only,1,1.0157914542518882,1.0157914542518882
tpch,template_only,2,1.074935124061878,1.0749351240618779
tpch,template_only,3,1.009868874646707,1.009868874646707
tpch,template_only,4,1.0117529605991036,1.0117529605991034
tpch,template_only,5,1.0395502207494618,1.0395502207494614
tpch,template_only,6,1.0139031383602346,1.013903138360235
tpch,template_only,7,1.0067483326558129,1.006748332655813
tpch,template_only,8,1.022563363494791,1.0225633634947913
tpch,template_only,9,1.047924218758578,1.047924218758578
tpch,template_only,10,1.0374090466571213,1.0374090466571215
tpch,template_only,11,1.025227369739951,1.0252273697399508
tpch,template_only,12,1.0402591381835529,1.0402591381835526
tpch,template_only,13,1.0231397431253693,1.0231397431253695
tpch,template_only,14,1.008845275082752,1.0088452750827521
tpch,template_only,15,1.0148736040482396,1.0148736040482398
tpch,template_only,16,1.0425258835537803,1.04252588355378
tpch,template_only,17,1.0100316303227057,1.0100316303227057
tpch,template_only,18,1.016920260800454,1.0169202608004537
tpch,template_only,19,1.0190977597418214,1.0190977597418212
tpch,template_only,20,1.0327299515664075,1.0327299515664077
tpch,template_only,21,1.0246759980314928,1.0246759980314935
tpch,template_only,22,1.0014700290763923,1.0014700290763923
tpch,template_only,23,1.0313131669385123,1.0313131669385123
tpch,template_only,24,1.0196335163617414,1.0196335163617416
tpch,template_only,25,1.016341901010265,1.0163419010102654
tpch,template_only,26,1.0322923383755132,1.032292338375514
tpch,template_only,27,1.0365451962394632,1.0365451962394634
tpch,template_only,28,1.0835668249390495,1.08356682493905
tpch,template_only,29,1.0223376681586078,1.0223376681586078
tpch,template_only,30,1.017295790308788,1.017295790308788
tpch,template_only,31,1.0370503212372169,1.0370503212372169
tpch,template_only,32,1.0267006772099083,1.0267006772099088
tpch,template_only,33,1.033129285337588,1.0331292853375873
tpch,template_only,34,1.0134445364088125,1.0134445364088127
tpch,template_only,35,1.024882038288533,1.0248820382885333
tpch,template_only,36,1.0265842663071374,1.0265842663071372
tpch,template_only,37,1.017788714150449,1.017788714150449
tpch,template_only,38,1.0054257990799988,1.0054257990799988
tpch,template_only,39,1.0119088927639694,1.0119088927639697
tpch,template_only,40,1.011846686446365,1.011846686446365
tpch,template_only,41,1.0101887160508074,1.0101887160508076
tpch,template_only,42,1.0431503032475755,1.0431503032475755
tpch,template_only,43,1.0377323454324057,1.0377323454324057
tpch,template_only,44,1.0104142186664065,1.0104142186664065
tpch,template_only,45,1.037463846559736,1.0374638465597361
tpch,template_only,46,1.0530853539997003,1.0530853539997
tpch,template_only,47,1.0106232759494003,1.0106232759494007
tpch,template_only,48,1.007792816567606,1.0077928165676062
tpch,template_only,49,1.01802175688725,1.01802175688725
tpch,volume_only,0,1.6683915095580857,1.0101543976723353
tpch,volume_only,1,1.4143338240531098,1.0068622822533453
tpch,volume_only,2,1.3913457496393296,1.008556245050588
tpch,volume_only,3,1.534528463539012,1.0051504613612205
tpch,volume_only,4,1.2867027260403903,1.0066039794449446
tpch,volume_only,5,1.5520592998709064,1.0068643107281876
tpch,volume_only,6,1.6121758387480858,1.0090860031732216
tpch,volume_only,7,1.0127570291603236,1.0010103850088086
tpch,volume_only,8,1.4732974532000926,1.0034318294364126
tpch,volume_only,9,1.289649287695839,1.0101494332505068
tpch,volume_only,10,1.7909116792728876,1.0093176568737392
tpch,volume_only,11,1.282905426251686,1.006603294111366
tpch,volume_only,12,1.630548474972451,1.0093213725941939
tpch,volume_only,13,1.6456013315569644,1.0093173523941692
tpch,volume_only,14,1.6346620332332709,1.0079095947092545
tpch,volume_only,15,1.3744850312345303,1.0060441704961651
tpch,volume_only,16,1.6473399439118328,1.0090918772914552
tpch,volume_only,17,1.2791229051150088,1.0090803765508578
tpch,volume_only,18,1.5741430890334027,1.0085581979251474
tpch,volume_only,19,1.6663401862419636,1.0101557750839165
tpch,volume_only,20,1.2779109427424298,1.0101469347431773
tpch,volume_only,21,1.5568125728400992,1.0068642020869023
tpch,volume_only,22,1.5300801385705878,1.008561222834709
tpch,volume_only,23,1.014215388658822,1.0010719884845698
tpch,volume_only,24,1.292711587154624,1.0078954716489619
tpch,volume_only,25,1.6458410268046595,1.0093205046070668
tpch,volume_only,26,1.53857310951855,1.0051413349702492
tpch,volume_only,27,1.6375934887536796,1.0093174357598722
tpch,volume_only,28,1.280308232226689,1.0066432155708531
