engine,block,window,dci_roll,regime,fired,truth
PG,93,22,2.0398,5-D,0,0
PG,94,23,2.1088,5-D,0,0
PG,95,24,2.0888,5-D,0,0
PG,96,1,,5-D,0,0
PG,96,2,,5-D,0,0
PG,96,3,1.5778,5-D,0,0
PG,96,4,2.3738,5-D,0,0
PG,96,5,1.2298,1-D,1,1
PG,96,6,1.2742,1-D,0,0
PG,96,7,1.3342,1-D,0,0
PG,96,8,1.3864,1-D,0,0
PG,96,9,2.0946,5-D,1,1
PG,97,10,2.1031,5-D,0,0
PG,98,11,2.1005,5-D,0,0
PG,99,12,2.0999,5-D,0,0
PG,100,13,2.0845,5-D,1,1
PG,101,14,2.1041,5-D,0,0
PG,102,15,2.1111,5-D,0,0
PG,103,16,2.1102,5-D,0,0
PG,104,17,2.4308,5-D,1,1
PG,105,18,2.4333,5-D,0,0
PG,106,19,2.439,5-D,0,0
PG,107,20,2.4512,5-D,0,0
PG,108,21,2.1367,5-D,1,1
PG,109,22,2.3102,5-D,1,0
PG,110,23,2.3216,5-D,0,0
PG,111,24,2.3128,5-D,0,0
PG,112,1,,5-D,0,0
PG,112,2,,5-D,0,0
PG,112,3,1.9719,5-D,0,0
PG,112,4,2.023,5-D,0,0
PG,112,5,2.1303,5-D,1,1
PG,112,6,2.1811,5-D,0,0
PG,112,7,2.2248,5-D,0,0
PG,112,8,2.397,5-D,0,0
PG,112,9,3.2036,5-D,1,1
PG,113,10,3.2327,5-D,0,0
PG,114,11,3.2706,5-D,0,0
PG,115,12,3.2934,5-D,0,0
PG,116,13,2.6328,5-D,1,1
PG,117,14,2.566,5-D,0,0
PG,118,15,2.5693,5-D,0,0
PG,119,16,2.5682,5-D,0,0
PG,120,17,2.8935,5-D,1,1
PG,121,18,2.9125,5-D,0,0
PG,122,19,2.9126,5-D,0,0
PG,123,20,2.9662,5-D,0,0
PG,124,21,2.4154,5-D,1,1
PG,125,22,2.4428,5-D,0,0
PG,126,23,2.4485,5-D,0,0
PG,127,24,2.4576,5-D,0,0
PG,128,1,,5-D,0,0
PG,128,2,,5-D,0,0
PG,128,3,1.2197,1-D,0,0
PG,128,4,1.6969,5-D,0,0
PG,128,5,1.2593,1-D,1,1
PG,128,6,1.3284,1-D,0,0
PG,128,7,1.3467,1-D,0,0
PG,128,8,1.3643,1-D,0,0
PG,128,9,2.0598,5-D,1,1
PG,129,10,2.0944,5-D,0,0
PG,130,11,2.1051,5-D,0,0
PG,131,12,2.2327,5-D,0,0
PG,132,13,1.9586,5-D,1,1
PG,133,14,1.9504,5-D,0,0
PG,134,15,1.9387,5-D,0,0
PG,135,16,1.9517,5-D,0,0
PG,136,17,2.2749,5-D,1,1
PG,137,18,2.2509,5-D,0,0
PG,138,19,2.2354,5-D,0,0
PG,139,20,2.2238,5-D,0,0
PG,140,21,2.0825,5-D,1,1
PG,141,22,2.0903,5-D,0,0
PG,142,23,2.1017,5-D,0,0
PG,143,24,2.0824,5-D,0,0
PG,144,1,,5-D,0,0
PG,144,2,,5-D,0,0
PG,144,3,1.2512,1-D,0,0
PG,144,4,1.5414,5-D,0,0
PG,144,5,1.3702,1-D,1,1
PG,144,6,1.4965,1-D,0,0
PG,144,7,1.5148,5-D,0,0
PG,144,8,1.5387,5-D,0,0
PG,144,9,2.24,5-D,1,1
PG,145,10,2.2404,5-D,0,0
PG,146,11,2.3299,5-D,1,0
PG,147,12,2.4249,5-D,0,0
PG,148,13,2.3197,5-D,1,1
PG,149,14,2.3885,5-D,0,0
PG,150,15,2.3663,5-D,0,0
PG,151,16,2.3464,5-D,0,0
PG,152,17,2.5795,5-D,1,1
PG,153,18,2.7026,5-D,0,0
PG,154,19,2.6815,5-D,0,0
PG,155,20,2.6948,5-D,0,0
PG,156,21,2.6316,5-D,1,1
PG,157,22,2.6519,5-D,0,0
PG,158,23,2.6384,5-D,0,0
PG,159,24,2.696,5-D,0,0
MG,0,1,,5-D,0,0
MG,0,2,,5-D,0,0
MG,0,3,1.7642,5-D,0,0
MG,0,4,1.7027,5-D,0,0
MG,0,5,1.1219,1-D,1,1
MG,0,6,1.1267,1-D,1,0
MG,0,7,1.1256,1-D,0,0
MG,0,8,1.2107,1-D,0,0
MG,0,9,1.7478,5-D,1,1
MG,1,10,1.7361,5-D,0,0
MG,2,11,1.746,5-D,0,0
MG,3,12,1.7391,5-D,0,0
MG,4,13,1.7206,5-D,1,1
MG,5,14,1.6881,5-D,0,0
MG,6,15,1.687,5-D,0,0
MG,7,16,1.7332,5-D,0,0
MG,8,17,2.0748,5-D,1,1
MG,9,18,2.127,5-D,0,0
MG,10,19,2.122,5-D,0,0
MG,11,20,2.1269,5-D,0,0
MG,12,21,1.9237,5-D,1,1
MG,13,22,1.9598,5-D,0,0
MG,14,23,1.9643,5-D,0,0
MG,15,24,1.993,5-D,0,0
MG,16,1,,5-D,0,0
MG,16,2,,5-D,0,0
MG,16,3,1.948,5-D,0,0
MG,16,4,1.6345,5-D,1,0
MG,16,5,1.3401,1-D,1,1
MG,16,6,1.35,1-D,1,0
MG,16,7,1.3753,1-D,0,0
MG,16,8,1.3899,1-D,1,0
MG,16,9,2.144,5-D,1,1
MG,17,10,2.1043,5-D,0,0
MG,18,11,2.1207,5-D,0,0
MG,19,12,2.1704,5-D,0,0
MG,20,13,1.7154,5-D,1,1
MG,21,14,1.7184,5-D,0,0
MG,22,15,1.717,5-D,0,0
MG,23,16,1.7602,5-D,0,0
MG,24,17,2.0687,5-D,1,1
MG,25,18,2.0625,5-D,1,0
MG,26,19,2.111,5-D,1,0
MG,27,20,2.0664,5-D,0,0
MG,28,21,1.8091,5-D,1,1
MG,29,22,1.7984,5-D,0,0
MG,30,23,1.7869,5-D,0,0
MG,31,24,1.7837,5-D,0,0
MG,32,1,,5-D,0,0
MG,32,2,,5-D,0,0
MG,32,3,1.2935,1-D,0,0
MG,32,4,1.5354,5-D,0,0
MG,32,5,1.1897,1-D,1,1
MG,32,6,1.2645,1-D,0,0
MG,32,7,1.2358,1-D,1,0
MG,32,8,1.251,1-D,0,0
MG,32,9,1.9238,5-D,1,1
MG,33,10,1.9151,5-D,0,0
MG,34,11,1.944,5-D,0,0
