workload,config,seed,dci_raw,dci_w,auc_multiD,auc_w1D,auc_raw1D_best,gap_md_w1,vargap_md_w1,dci_w_r1e-08,dci_w_r1e-06,dci_w_r0.0001,dci_w_r0.01
tpch,volume_only,1,1.414334,1.006862,1.0,1.0,1.0,0.0,0.0,1.006845,1.006862,1.008526,1.08178
tpch,volume_only,2,1.391346,1.008556,1.0,1.0,1.0,0.0,0.0,1.008547,1.008556,1.009463,1.063606
tpch,volume_only,3,1.534528,1.00515,1.0,1.0,1.0,0.0,0.0,1.005117,1.00515,1.008303,1.096424
tpch,volume_only,4,1.286703,1.006604,1.0,1.0,1.0,0.0,0.0,1.006578,1.006604,1.009023,1.064691
tpch,volume_only,5,1.552059,1.006864,1.0,1.0,1.0,0.0,0.0,1.006845,1.006864,1.008724,1.093185
tpch,volume_only,6,1.612176,1.009086,1.0,1.0,1.0,0.0,0.0,1.009068,1.009086,1.01088,1.100578
tpch,volume_only,7,1.012757,1.00101,1.0,1.0,1.0,0.0,0.0,1.000997,1.00101,1.002187,1.011666
tpch,volume_only,8,1.473297,1.003432,1.0,1.0,1.0,0.0,0.0,1.003423,1.003432,1.004345,1.077456
tpch,volume_only,9,1.289649,1.010149,1.0,1.0,1.0,0.0,0.0,1.010137,1.010149,1.011348,1.052659
tpch,volume_only,10,1.790912,1.009318,1.0,1.0,1.0,0.0,0.0,1.009296,1.009318,1.011446,1.117909
tpch,volume_only,11,1.282905,1.006603,1.0,1.0,1.0,0.0,0.0,1.006578,1.006603,1.008958,1.0615
tpch,volume_only,12,1.630548,1.009321,1.0,1.0,1.0,0.0,0.0,1.009296,1.009321,1.011776,1.108562
tpch,volume_only,13,1.645601,1.009317,1.0,1.0,1.0,0.0,0.0,1.009296,1.009317,1.011408,1.107326
tpch,volume_only,14,1.634662,1.00791,1.0,1.0,1.0,0.0,0.0,1.007878,1.00791,1.010913,1.11372
tpch,volume_only,15,1.374485,1.006044,1.0,1.0,1.0,0.0,0.0,1.006008,1.006044,1.009425,1.081282
tpch,volume_only,16,1.64734,1.009092,1.0,1.0,1.0,0.0,0.0,1.009068,1.009092,1.011429,1.110938
tpch,volume_only,17,1.279123,1.00908,1.0,1.0,1.0,0.0,0.0,1.009068,1.00908,1.010319,1.055333
tpch,volume_only,18,1.574143,1.008558,1.0,1.0,1.0,0.0,0.0,1.008547,1.008558,1.009658,1.080498
tpch,volume_only,19,1.66634,1.010156,1.0,1.0,1.0,0.0,0.0,1.010137,1.010156,1.011996,1.105681
tpch,volume_only,20,1.277911,1.010147,1.0,1.0,1.0,0.0,0.0,1.010137,1.010147,1.011151,1.055825
tpch,volume_only,21,1.556813,1.006864,1.0,1.0,1.0,0.0,0.0,1.006845,1.006864,1.008712,1.088461
tpch,volume_only,22,1.53008,1.008561,1.0,1.0,1.0,0.0,0.0,1.008547,1.008561,1.009936,1.078449
tpch,volume_only,23,1.014215,1.001072,1.0,1.0,1.0,0.0,0.0,1.001058,1.001072,1.002334,1.013152
tpch,volume_only,24,1.292712,1.007895,1.0,1.0,1.0,0.0,0.0,1.007878,1.007895,1.009566,1.064984
tpch,volume_only,25,1.645841,1.009321,1.0,1.0,1.0,0.0,0.0,1.009296,1.009321,1.0117,1.109804
tpch,volume_only,26,1.538573,1.005141,1.0,1.0,1.0,0.0,0.0,1.005117,1.005141,1.007485,1.111377
tpch,volume_only,27,1.637593,1.009317,1.0,1.0,1.0,0.0,0.0,1.009296,1.009317,1.011415,1.107952
tpch,volume_only,28,1.280308,1.006643,1.0,1.0,1.0,0.0,0.0,1.006579,1.006643,1.012196,1.068619
tpch,volume_only,29,1.62637,1.006617,1.0,1.0,1.0,0.0,0.0,1.006578,1.006617,1.010284,1.120576
tpch,volume_only,30,1.618687,1.006093,1.0,1.0,1.0,0.0,0.0,1.006009,1.006093,1.013636,1.120162
tpch,volume_only,31,1.647135,1.009314,1.0,1.0,1.0,0.0,0.0,1.009296,1.009314,1.011068,1.094069
tpch,volume_only,32,1.545388,1.006864,1.0,1.0,1.0,0.0,0.0,1.006845,1.006864,1.008677,1.093858
tpch,volume_only,33,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
tpch,volume_only,34,1.013767,1.00107,1.0,1.0,1.0,0.0,0.0,1.001058,1.00107,1.002174,1.012899
tpch,volume_only,35,1.384821,1.008556,1.0,1.0,1.0,0.0,0.0,1.008547,1.008556,1.00943,1.057359
tpch,volume_only,36,1.013304,1.001014,1.0,1.0,1.0,0.0,0.0,1.000997,1.001014,1.002499,1.011866
tpch,volume_only,37,1.013087,1.001009,1.0,1.0,1.0,0.0,0.0,1.000997,1.001009,1.002082,1.011711
tpch,volume_only,38,1.013487,1.001071,1.0,1.0,1.0,0.0,0.0,1.001058,1.001071,1.002294,1.013149
tpch,volume_only,39,1.299578,1.009084,1.0,1.0,1.0,0.0,0.0,1.009068,1.009084,1.010614,1.057846
tpch,volume_only,40,1.296654,1.010148,1.0,1.0,1.0,0.0,0.0,1.010137,1.010148,1.011267,1.055493
tpch,volume_only,41,1.567691,1.010227,1.0,1.0,1.0,0.0,0.0,1.01022,1.010227,1.010907,1.067125
tpch,volume_only,42,1.654644,1.006877,1.0,1.0,1.0,0.0,0.0,1.006845,1.006877,1.009882,1.115216
tpch,volume_only,43,1.027516,1.010142,1.0,1.0,1.0,0.0,0.0,1.010136,1.010142,1.010644,1.018503
tpch,volume_only,44,1.306216,1.01015,1.0,1.0,1.0,0.0,0.0,1.010137,1.01015,1.011398,1.058591
tpch,volume_only,45,1.231103,1.009307,1.0,1.0,1.0,0.0,0.0,1.009296,1.009307,1.0104,1.048608
tpch,volume_only,46,1.549668,1.006867,1.0,1.0,1.0,0.0,0.0,1.006845,1.006867,1.008937,1.093962
tpch,volume_only,47,1.012628,1.001007,1.0,1.0,1.0,0.0,0.0,1.000997,1.001007,1.001891,1.011509
tpch,volume_only,48,1.374856,1.008556,1.0,1.0,1.0,0.0,0.0,1.008547,1.008556,1.009429,1.05184
tpch,volume_only,49,1.793061,1.009346,1.0,1.0,1.0,0.0,0.0,1.009296,1.009346,1.014023,1.13457
tpch,mixed,0,2.160286,1.342717,1.0,1.0,0.809524,0.0,0.0,1.341826,1.342717,1.424686,2.095427
tpch,mixed,1,1.744377,1.531893,1.0,1.0,0.87619,0.0,0.0,1.530512,1.531893,1.652474,2.018933
tpch,mixed,2,1.865523,1.490299,1.0,1.0,0.833333,0.0,0.0,1.489547,1.490299,1.559448,2.061905
tpch,mixed,3,1.851499,1.107831,1.0,1.0,0.838095,0.0,0.0,1.106714,1.107831,1.209865,1.939503
tpch,mixed,4,1.861542,1.304752,1.0,1.0,0.8,0.0,0.0,1.289814,1.304752,1.720311,1.919384
tpch,mixed,5,1.691637,1.631287,1.0,1.0,0.8,0.0,0.0,1.429686,1.631287,1.90193,1.860452
tpch,mixed,6,1.582042,1.715272,1.0,1.0,0.828571,0.0,0.0,1.495917,1.715272,1.887466,1.827664
tpch,mixed,7,1.984927,1.326522,1.0,1.0,0.809524,0.0,0.0,1.325715,1.326522,1.401949,2.094053
tpch,mixed,8,2.213485,1.836165,1.0,1.0,0.82381,0.0,0.0,1.835789,1.836165,1.869978,2.080291
tpch,mixed,9,2.09146,1.213686,1.0,1.0,0.82381,0.0,0.0,1.21293,1.213686,1.284029,2.012346
tpch,mixed,10,1.893229,1.523136,1.0,1.0,0.833333,0.0,0.0,1.522092,1.523136,1.614945,1.992633
tpch,mixed,11,2.191375,1.320447,1.0,1.0,0.819048,0.0,0.0,1.319641,1.320447,1.394808,2.089481
tpch,mixed,12,2.370798,1.223112,0.92381,0.857143,0.75,0.066667,0.004640522875816996,1.222791,1.223112,1.253853,1.837564
tpch,mixed,13,2.070116,1.511685,1.0,1.0,0.828571,0.0,0.0,1.510963,1.511685,1.577438,2.056581
tpch,mixed,14,2.501438,1.613244,1.0,1.0,0.838095,0.0,0.0,1.612687,1.613244,1.664878,2.200711
tpch,mixed,15,1.808119,1.276413,1.0,1.0,0.847619,0.0,0.0,1.275078,1.276413,1.395344,2.030146
tpch,mixed,16,2.313375,1.49684,1.0,1.0,0.8,0.0,0.0,1.496364,1.49684,1.541873,2.107498
tpch,mixed,17,2.19679,1.155317,1.0,1.0,0.8,0.0,0.0,1.154711,1.155317,1.212187,1.952682
tpch,mixed,18,1.653921,1.373922,1.0,1.0,0.847619,0.0,0.0,1.371818,1.373922,1.551975,1.938898
tpch,mixed,19,1.840618,1.402333,1.0,1.0,0.785714,0.0,0.0,1.381988,1.402333,1.876631,2.013388
tpch,mixed,20,2.173511,1.596598,1.0,1.0,0.809524,0.0,0.0,1.596143,1.596598,1.639137,2.091611
tpch,mixed,21,1.753808,1.808293,1.0,1.0,0.8,0.0,0.0,1.698149,1.808293,1.9151,1.888166
tpch,mixed,22,1.73076,1.501159,1.0,1.0,0.847619,0.0,0.0,1.499785,1.501159,1.618481,1.985056
tpch,mixed,23,1.88411,1.594004,1.0,1.0,0.842857,0.0,0.0,1.592903,1.594004,1.69121,2.081754
tpch,mixed,24,1.66484,1.981968,1.0,1.0,0.833333,0.0,0.0,1.981766,1.981968,1.996635,1.888154
tpch,mixed,25,1.632538,1.750663,1.0,1.0,0.814286,0.0,0.0,1.576523,1.750663,1.877543,1.829233
tpch,mixed,26,1.702102,1.838732,1.0,1.0,0.785714,0.0,0.0,1.721617,1.838732,1.845684,1.810354
tpch,mixed,27,2.354763,1.232894,1.0,1.0,0.842857,0.0,0.0,1.232262,1.232894,1.291815,1.963249
tpch,mixed,28,1.915311,1.118653,1.0,1.0,0.833333,0.0,0.0,1.117736,1.118653,1.201745,1.8702
tpch,mixed,29,2.090066,1.254493,1.0,1.0,0.842857,0.0,0.0,1.253627,1.254493,1.335082,2.060348
tpch,mixed,30,2.202015,1.346869,1.0,1.0,0.814286,0.0,0.0,1.34634,1.346869,1.396541,1.987314
tpch,mixed,31,2.211883,1.184312,1.0,1.0,0.809524,0.0,0.0,1.183959,1.184312,1.217847,1.770269
tpch,mixed,32,1.976966,1.478175,1.0,1.0,0.871429,0.0,0.0,1.476738,1.478175,1.599754,2.02538
tpch,mixed,33,1.936089,1.572902,1.0,1.0,0.857143,0.0,0.0,1.571594,1.572902,1.683563,2.081167
tpch,mixed,34,1.685211,1.62682,1.0,1.0,0.814286,0.0,0.0,1.458088,1.62682,1.950252,1.915649
tpch,mixed,35,2.262843,1.268855,1.0,1.0,0.790476,0.0,0.0,1.268478,1.268855,1.304864,1.899174
tpch,mixed,36,1.817886,1.266581,1.0,1.0,0.785714,0.0,0.0,1.251661,1.266581,1.711649,1.930188
tpch,mixed,37,1.906275,1.382193,1.0,1.0,0.833333,0.0,0.0,1.381263,1.382193,1.466998,2.040829
tpch,mixed,38,1.888041,1.136069,0.880952,0.885714,0.75,-0.004762,4.5351473922899954e-05,1.135141,1.136069,1.221787,1.942759
tpch,mixed,39,2.150236,1.282266,1.0,1.0,0.790476,0.0,0.0,1.28183,1.282266,1.323308,1.898208
tpch,mixed,40,1.805485,1.584686,1.0,1.0,0.880952,0.0,0.0,1.583421,1.584686,1.694137,2.099185
tpch,mixed,41,2.330069,1.040805,1.0,1.0,0.809524,0.0,0.0,1.040359,1.040805,1.082738,1.701592
tpch,mixed,42,1.796024,1.372068,1.0,1.0,0.833333,0.0,0.0,1.370644,1.372068,1.495984,1.98041
tpch,mixed,43,2.242606,1.343897,1.0,1.0,0.785714,0.0,0.0,1.343511,1.343897,1.380657,1.940444
tpch,mixed,44,2.176228,1.188345,1.0,1.0,0.828571,0.0,0.0,1.18796,1.188345,1.224607,1.771621
tpch,mixed,45,1.61412,1.906686,1.0,1.0,0.828571,0.0,0.0,1.784794,1.906686,1.829737,1.784676
tpch,mixed,46,1.650365,1.661483,1.0,1.0,0.833333,0.0,0.0,1.659963,1.661483,1.782846,1.990357
tpch,mixed,47,1.698537,1.884857,1.0,1.0,0.861905,0.0,0.0,1.884247,1.884857,1.931812,1.966178
tpch,mixed,48,1.913186,1.936123,0.947619,0.961905,0.819048,-0.014286,0.00026810724289715905,1.93593,1.936123,1.952253,2.022205
tpch,mixed,49,2.362493,1.193018,1.0,1.0,0.785714,0.0,0.0,1.192525,1.193018,1.239337,1.866928
job,template_only,0,1.21819,1.000828,0.980952,0.980952,0.935714,0.0,9.337068160597572e-05,1.000774,1.000828,1.005994,1.17362
job,template_only,1,1.049055,1.455388,0.985714,0.880952,0.971429,0.104762,0.015247432306255835,1.454953,1.455388,1.482067,1.113838
job,template_only,2,1.132988,1.000115,1.0,1.0,1.0,0.0,0.0,1.000066,1.000115,1.004797,1.135036
job,template_only,3,1.071174,1.004704,1.0,1.0,1.0,0.0,0.0,1.00462,1.004704,1.012737,1.119893
job,template_only,4,1.051359,1.00483,1.0,1.0,1.0,0.0,0.0,1.004547,1.00483,1.029168,1.109056
job,template_only,5,1.088589,1.001549,1.0,1.0,1.0,0.0,0.0,1.001511,1.001549,1.005095,1.080309
job,template_only,6,1.030231,1.010872,1.0,1.0,1.0,0.0,0.0,1.010801,1.010872,1.017135,1.048075
job,template_only,7,1.131943,1.018419,0.995238,0.9,0.935714,0.095238,0.00931706015739629,1.018275,1.018419,1.031667,1.175634
job,template_only,8,1.088053,1.000403,1.0,1.0,1.0,0.0,0.0,1.000374,1.000403,1.003188,1.078202
job,template_only,9,1.023886,1.000439,1.0,1.0,1.0,0.0,0.0,1.000424,1.000439,1.001863,1.027642
job,template_only,10,1.105456,1.000815,1.0,1.0,1.0,0.0,0.0,1.000774,1.000815,1.004662,1.095228
job,template_only,11,1.195341,1.000539,1.0,1.0,1.0,0.0,0.0,1.000437,1.000539,1.010484,1.244987
job,template_only,12,1.125332,1.006191,1.0,1.0,1.0,0.0,0.0,1.006048,1.006191,1.019236,1.163573
job,template_only,13,1.213535,1.001962,1.0,1.0,1.0,0.0,0.0,1.001869,1.001962,1.010575,1.206828
job,template_only,14,1.057498,1.00118,1.0,1.0,1.0,0.0,0.0,1.001104,1.00118,1.008269,1.079932
job,template_only,15,1.073353,1.000119,1.0,1.0,1.0,0.0,0.0,1.000001,1.000119,1.010969,1.119421
job,template_only,16,1.111313,1.005817,1.0,1.0,1.0,0.0,0.0,1.005676,1.005817,1.017932,1.124951
job,template_only,17,1.122151,1.001299,0.871429,0.957143,0.95,-0.085714,0.007551020408163271,1.001164,1.001299,1.012954,1.134774
job,template_only,18,1.02452,1.023972,1.0,1.0,1.0,0.0,0.0,1.023753,1.023972,1.042338,1.056506
job,template_only,19,1.079602,1.080371,0.885714,0.72381,0.933333,0.161905,0.011845538215286111,1.080089,1.080371,1.105362,1.17577
job,template_only,20,1.03336,1.016578,1.0,1.0,1.0,0.0,0.0,1.016532,1.016578,1.020691,1.048049
job,template_only,21,1.05557,1.000939,0.919048,0.961905,0.933333,-0.042857,0.0019927971188475396,1.000856,1.000939,1.008493,1.083521
job,template_only,22,1.101002,1.015928,1.0,1.0,1.0,0.0,0.0,1.015847,1.015928,1.023575,1.137494
job,template_only,23,1.016533,1.000868,1.0,1.0,1.0,0.0,0.0,1.000841,1.000868,1.003293,1.025644
job,template_only,24,1.06642,1.006095,1.0,1.0,1.0,0.0,0.0,1.006038,1.006095,1.011219,1.069644
job,template_only,25,1.031833,1.001534,1.0,1.0,1.0,0.0,0.0,1.001362,1.001534,1.016261,1.068622
job,template_only,26,1.087358,1.006754,1.0,1.0,1.0,0.0,0.0,1.006608,1.006754,1.019782,1.156281
job,template_only,27,1.069236,1.010812,1.0,1.0,1.0,0.0,0.0,1.010738,1.010812,1.017796,1.098853
job,template_only,28,1.083821,1.071316,1.0,1.0,1.0,0.0,0.0,1.071193,1.071316,1.081526,1.147363
job,template_only,29,1.355725,1.028636,0.995238,0.952381,0.919048,0.042857,0.001992797118847539,1.028501,1.028636,1.041232,1.316701
job,template_only,30,1.016283,1.003508,1.0,1.0,1.0,0.0,0.0,1.003483,1.003508,1.005749,1.022143
job,template_only,31,1.031714,1.00019,1.0,1.0,1.0,0.0,0.0,1.000169,1.00019,1.002124,1.032467
job,template_only,32,1.06021,1.000367,1.0,1.0,1.0,0.0,0.0,1.000244,1.000367,1.011363,1.093899
job,template_only,33,1.221783,1.006919,1.0,1.0,1.0,0.0,0.0,1.006859,1.006919,1.012478,1.16287
job,template_only,34,1.169679,1.002193,1.0,1.0,1.0,0.0,0.0,1.002122,1.002193,1.008747,1.156088
job,template_only,35,1.028822,1.009795,0.966667,0.97619,0.971429,-0.009524,0.0002747765772975854,1.009769,1.009795,1.012074,1.035846
job,template_only,36,1.127236,1.005468,1.0,1.0,1.0,0.0,0.0,1.005431,1.005468,1.009006,1.098552
job,template_only,37,1.214838,1.00159,1.0,1.0,1.0,0.0,0.0,1.001414,1.00159,1.018118,1.315617
job,template_only,38,1.414567,1.017106,0.961905,0.961905,0.942857,0.0,0.00019447779111644642,1.017003,1.017106,1.026418,1.252993
job,template_only,39,1.085867,1.056626,1.0,1.0,1.0,0.0,0.0,1.056489,1.056626,1.068773,1.113905
job,template_only,40,1.048624,1.002011,0.995238,0.995238,0.995238,0.0,0.0,1.001992,1.002011,1.003893,1.048305
job,template_only,41,1.105402,1.000297,1.0,1.0,1.0,0.0,0.0,1.000218,1.000297,1.007533,1.123457
job,template_only,42,1.082164,1.006941,1.0,1.0,1.0,0.0,0.0,1.006837,1.006941,1.016533,1.122852
job,template_only,43,1.09013,1.124912,1.0,0.842857,0.990476,0.157143,0.024737895158063225,1.124447,1.124912,1.163055,1.182896
job,template_only,44,1.161832,1.015997,1.0,1.0,1.0,0.0,0.0,1.015874,1.015997,1.027343,1.175292
job,template_only,45,1.128507,1.016372,1.0,1.0,1.0,0.0,0.0,1.016257,1.016372,1.027108,1.214751
job,template_only,46,1.154475,1.000093,1.0,1.0,1.0,0.0,0.0,1.000001,1.000093,1.008758,1.175026
job,template_only,47,1.084503,1.017179,1.0,1.0,1.0,0.0,0.0,1.016933,1.017179,1.039777,1.210747
job,template_only,48,1.143432,1.054442,0.995238,0.933333,0.971429,0.061905,0.004069627851140457,1.053943,1.054442,1.098709,1.306237
job,template_only,49,1.082845,1.00229,1.0,1.0,1.0,0.0,0.0,1.001839,1.00229,1.042754,1.1509
job,volume_only,0,1.117251,1.010257,1.0,1.0,1.0,0.0,0.0,1.01022,1.010257,1.013134,1.053739
job,volume_only,1,1.076765,1.005145,1.0,1.0,1.0,0.0,0.0,1.005117,1.005145,1.007675,1.043293
job,volume_only,2,1.050829,1.010237,1.0,1.0,1.0,0.0,0.0,1.01022,1.010237,1.011608,1.030306
job,volume_only,3,1.270445,1.007906,1.0,1.0,1.0,0.0,0.0,1.007878,1.007906,1.010332,1.105001
job,volume_only,4,1.068097,1.001017,1.0,1.0,1.0,0.0,0.0,1.000997,1.001017,1.002562,1.027761
job,volume_only,5,1.070028,1.001805,1.0,1.0,1.0,0.0,0.0,1.001788,1.001805,1.00252,1.023743
job,volume_only,6,1.65457,1.001071,1.0,1.0,1.0,0.0,0.0,1.000998,1.001071,1.008105,1.272282
job,volume_only,7,1.248674,1.008559,1.0,1.0,1.0,0.0,0.0,1.008547,1.008559,1.009716,1.082678
job,volume_only,8,1.355295,1.009326,1.0,1.0,1.0,0.0,0.0,1.009296,1.009326,1.012304,1.148105
job,volume_only,9,1.279697,1.001081,1.0,1.0,1.0,0.0,0.0,1.001058,1.001081,1.003169,1.102284
job,volume_only,10,1.086242,1.006599,1.0,1.0,1.0,0.0,0.0,1.006578,1.006599,1.00787,1.038771
job,volume_only,11,1.100899,1.00931,1.0,1.0,1.0,0.0,0.0,1.009296,1.00931,1.010405,1.047038
