workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,mixed,18,dci_gated,41,6,6,1.0,0.0,14,20,0.0975609756097561,0.23701683066527926
tpch,mixed,18,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,19,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,19,dci_gated,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,19,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,20,always_5D,41,6,6,1.0,0.0,20,26,1.0,2.348561333337177
tpch,mixed,20,dci_gated,41,6,6,1.0,0.0,20,26,0.0975609756097561,0.23701683066527926
tpch,mixed,20,always_1D,41,6,6,1.0,0.0,20,26,0.04878048780487805,0.12287928998031117
tpch,mixed,21,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,21,dci_gated,41,6,6,1.0,0.0,14,20,0.17073170731707318,0.4082231416927294
tpch,mixed,21,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,22,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,22,dci_gated,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,22,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,23,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,23,dci_gated,41,6,6,1.0,0.0,14,20,0.0975609756097561,0.23701683066527926
tpch,mixed,23,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,24,always_5D,41,6,6,1.0,0.0,15,21,1.0,2.348561333337177
tpch,mixed,24,dci_gated,41,6,6,1.0,0.0,15,21,0.17073170731707318,0.4082231416927303
tpch,mixed,24,always_1D,41,6,6,1.0,0.0,15,21,0.04878048780487805,0.12287928998031117
tpch,mixed,25,always_5D,41,6,6,1.0,0.0,13,19,1.0,2.348561333337177
tpch,mixed,25,dci_gated,41,6,6,1.0,0.0,13,19,0.0975609756097561,0.2370168306652788
