block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
2,7300,dci_gated,9,MixSurge1,1,0.89838,0.625,0.601706,1.0,0.817436,0.792552,1,1.6253,5-D,32,32,7792.661,8908.658,3.592,1.0
2,7300,dci_gated,10,MixSurge1,0,0.930096,1.0,0.846388,1.0,0.785938,0.919692,0,1.6386,5-D,32,32,8247.799,9163.736,3.492,1.0
2,7300,dci_gated,11,MixSurge1,0,0.864139,1.0,0.699871,1.0,0.793711,0.875066,0,1.6462,5-D,32,32,6904.365,7975.211,4.0124,1.0
2,7300,dci_gated,12,MixSurge1,0,0.864139,1.0,0.705195,1.0,0.710877,0.863705,0,1.6489,5-D,32,32,8231.552,9141.441,3.5005,1.0
2,7300,dci_gated,13,MixShift2,1,0.602539,1.0,0.393194,0.807882,0.736437,0.701316,1,1.6055,5-D,32,32,14133.302,15195.827,2.1058,1.0
2,7300,dci_gated,14,MixShift2,0,0.963547,1.0,0.836225,1.0,0.77363,0.924176,0,1.6038,5-D,32,32,14502.125,15356.42,2.0838,1.0
2,7300,dci_gated,15,MixShift2,0,0.913002,1.0,0.702786,1.0,0.683104,0.871273,0,1.6085,5-D,32,32,12427.696,13042.334,2.4535,1.0
2,7300,dci_gated,16,MixShift2,0,0.923898,1.0,0.706301,1.0,0.847746,0.899397,0,1.6304,5-D,32,32,14225.964,15147.792,2.1125,1.0
2,7300,dci_gated,17,MixCalm,1,0.845892,0.625,0.728762,0.981481,0.857564,0.807156,1,1.9096,5-D,20,20,7321.842,8118.789,2.4634,1.0
2,7300,dci_gated,18,MixCalm,0,0.810427,1.0,0.682317,0.981481,0.745,0.847116,0,1.9208,5-D,20,20,11533.66,12076.616,1.6561,1.0
2,7300,dci_gated,19,MixCalm,0,0.854059,1.0,0.58446,1.0,0.722436,0.838772,0,1.9369,5-D,20,20,11373.014,12091.708,1.654,1.0
2,7300,dci_gated,20,MixCalm,0,0.89028,1.0,0.683016,1.0,0.740769,0.870289,0,1.9354,5-D,20,20,8341.417,9006.157,2.2207,1.0
2,7300,dci_gated,21,MixShift3,1,0.561272,1.0,0.256409,0.811905,0.763846,0.668558,1,1.8124,5-D,20,20,7049.347,7666.865,2.6086,1.0
2,7300,dci_gated,22,MixShift3,0,0.849829,1.0,0.689487,0.839744,0.730256,0.827842,0,1.8333,5-D,20,20,6515.27,7242.896,2.7613,1.0
2,7300,dci_gated,23,MixShift3,0,0.940591,1.0,0.753316,1.0,0.770128,0.90133,0,1.8264,5-D,20,20,10465.176,11045.657,1.8107,1.0
2,7300,dci_gated,24,MixShift3,0,0.731603,1.0,0.499399,0.839744,0.735385,0.761037,0,1.7949,5-D,20,20,9846.93,10526.614,1.8999,1.0
3,7400,dci_gated,1,MixBase,0,0.859176,1.0,0.639001,1.0,0.628718,0.836902,0,,5-D,20,20,5000.759,5530.551,3.6163,1.0
3,7400,dci_gated,2,MixBase,0,0.897713,1.0,0.662409,1.0,0.800897,0.877045,0,,5-D,20,20,5372.253,5899.672,3.39,1.0
3,7400,dci_gated,3,MixBase,0,0.920554,1.0,0.726516,1.0,0.789231,0.893826,0,1.8792,5-D,20,20,5524.591,6098.822,3.2793,1.0
3,7400,dci_gated,4,MixBase,0,0.871175,1.0,0.518735,1.0,0.710641,0.828137,0,2.1942,5-D,20,20,4013.265,4441.763,4.5027,1.0
3,7400,dci_gated,5,MixShift1,1,0.57451,1.0,0.241191,0.440092,0.68141,0.582096,1,1.1559,1-D,20,20,4086.367,4665.703,4.2866,1.0
3,7400,dci_gated,6,MixShift1,0,0.741206,1.0,0.518322,0.9375,0.722179,0.784793,0,1.2021,1-D,20,20,5837.279,6412.258,3.119,1.0
3,7400,dci_gated,7,MixShift1,0,0.861371,1.0,0.716822,0.9375,0.76859,0.861496,0,1.2152,1-D,20,20,5088.071,5598.445,3.5724,1.0
3,7400,dci_gated,8,MixShift1,0,0.905484,1.0,0.724829,1.0,0.790897,0.889971,0,1.2175,1-D,20,20,4943.013,5484.042,3.6469,1.0
3,7400,dci_gated,9,MixSurge1,1,0.933376,0.625,0.827763,1.0,0.814103,0.846012,1,1.6737,5-D,32,32,7804.456,8682.477,3.6856,1.0
3,7400,dci_gated,10,MixSurge1,0,0.944342,1.0,0.855901,1.0,0.728934,0.916606,0,1.6901,5-D,32,32,8670.562,9624.0,3.325,1.0
3,7400,dci_gated,11,MixSurge1,0,0.918402,1.0,0.724223,1.0,0.708934,0.880785,0,1.6927,5-D,32,32,6890.538,7893.627,4.0539,1.0
3,7400,dci_gated,12,MixSurge1,0,0.874892,1.0,0.632291,1.0,0.680297,0.847226,0,1.718,5-D,32,32,8419.516,9284.369,3.4467,1.0
3,7400,dci_gated,13,MixShift2,1,0.591609,1.0,0.313329,0.807882,0.729285,0.681537,1,1.6206,5-D,32,32,16406.757,17552.499,1.8231,1.0
3,7400,dci_gated,14,MixShift2,0,0.890157,1.0,0.653161,1.0,0.781161,0.870346,0,1.6267,5-D,32,32,13649.451,14560.723,2.1977,1.0
3,7400,dci_gated,15,MixShift2,0,0.841626,1.0,0.712819,0.981481,0.756869,0.862797,0,1.6338,5-D,32,32,11480.979,12447.629,2.5708,1.0
3,7400,dci_gated,16,MixShift2,0,0.861371,1.0,0.80361,0.981481,0.784157,0.889985,0,1.6516,5-D,32,32,12847.167,14043.086,2.2787,1.0
3,7400,dci_gated,17,MixCalm,1,0.913002,0.625,0.798957,1.0,0.788974,0.831388,1,1.8768,5-D,20,20,7840.878,8202.427,2.4383,1.0
3,7400,dci_gated,18,MixCalm,0,0.952814,1.0,0.678508,1.0,0.740256,0.884943,0,1.8827,5-D,20,20,8935.658,9551.61,2.0939,1.0
3,7400,dci_gated,19,MixCalm,0,0.880073,1.0,0.549739,1.0,0.875385,0.861274,0,1.9606,5-D,20,20,7538.853,8217.832,2.4337,1.0
3,7400,dci_gated,20,MixCalm,0,0.905792,1.0,0.727837,1.0,0.610128,0.863535,0,2.0114,5-D,20,20,7294.73,7949.996,2.5157,1.0
3,7400,dci_gated,21,MixShift3,1,0.613338,1.0,0.367307,0.811905,0.775897,0.705561,1,1.9066,5-D,20,20,10186.096,10811.568,1.8499,1.0
3,7400,dci_gated,22,MixShift3,0,1.0,1.0,0.914326,1.0,0.580513,0.919942,1,1.9438,5-D,20,20,8939.417,9595.782,2.0842,1.0
3,7400,dci_gated,23,MixShift3,0,0.828067,1.0,0.645658,0.839744,0.812179,0.825924,0,1.9636,5-D,20,20,9855.711,10243.835,1.9524,1.0
3,7400,dci_gated,24,MixShift3,0,0.882123,1.0,0.878251,0.839744,0.722436,0.872495,0,2.0521,5-D,20,20,9414.775,10014.576,1.9971,1.0
4,7500,dci_gated,1,MixBase,0,0.869421,1.0,0.586722,1.0,0.762179,0.849026,0,,5-D,20,20,5388.169,5753.536,3.4761,1.0
4,7500,dci_gated,2,MixBase,0,0.86444,1.0,0.602656,1.0,0.725513,0.845468,0,,5-D,20,20,4978.194,5641.339,3.5453,1.0
4,7500,dci_gated,3,MixBase,0,0.924065,1.0,0.781926,1.0,0.802564,0.907786,0,1.5627,5-D,20,20,5495.07,6107.411,3.2747,1.0
4,7500,dci_gated,4,MixBase,0,0.926974,1.0,0.760709,1.0,0.743718,0.895443,0,1.5132,5-D,20,20,5102.441,5691.037,3.5143,1.0
4,7500,dci_gated,5,MixShift1,1,0.68833,1.0,0.523489,0.440092,0.746923,0.676837,1,1.2109,1-D,20,20,5332.817,5942.834,3.3654,1.0
4,7500,dci_gated,6,MixShift1,0,0.927134,1.0,0.764639,1.0,0.723718,0.893269,0,1.2576,1-D,20,20,5737.239,6272.833,3.1884,1.0
4,7500,dci_gated,7,MixShift1,0,0.924065,1.0,0.615667,1.0,0.696795,0.858669,0,1.3018,1-D,20,20,5497.111,5980.497,3.3442,1.0
4,7500,dci_gated,8,MixShift1,0,0.874615,1.0,0.435409,1.0,0.764231,0.82037,0,1.5767,5-D,20,20,4745.205,5205.37,3.8422,1.0
4,7500,dci_gated,9,MixSurge1,1,0.865985,0.625,0.637715,1.0,0.752051,0.781847,1,2.3504,5-D,32,32,8176.127,9161.415,3.4929,1.0
4,7500,dci_gated,10,MixSurge1,0,0.940549,1.0,0.759289,1.0,0.680648,0.889092,0,2.3954,5-D,32,32,7704.9,8657.925,3.696,1.0
4,7500,dci_gated,11,MixSurge1,0,0.854695,1.0,0.578127,1.0,0.807045,0.850356,0,2.461,5-D,32,32,8397.868,9465.738,3.3806,1.0
4,7500,dci_gated,12,MixSurge1,0,0.944342,1.0,0.861466,1.0,0.850715,0.935986,0,2.5876,5-D,32,32,8001.956,9089.984,3.5204,1.0
4,7500,dci_gated,13,MixShift2,1,0.577033,1.0,0.250644,0.807882,0.856464,0.684433,1,2.3057,5-D,32,32,17950.192,19027.435,1.6818,1.0
4,7500,dci_gated,14,MixShift2,0,0.851413,1.0,0.695674,1.0,0.823968,0.875583,0,2.3377,5-D,32,32,13242.299,13970.871,2.2905,1.0
4,7500,dci_gated,15,MixShift2,0,0.871319,1.0,0.727874,1.0,0.80081,0.883526,0,2.3484,5-D,32,32,13173.971,14132.641,2.2643,1.0
4,7500,dci_gated,16,MixShift2,0,0.940549,1.0,0.76519,1.0,0.810364,0.90973,0,2.3422,5-D,32,32,11141.774,12298.673,2.6019,1.0
4,7500,dci_gated,17,MixCalm,1,0.839678,0.625,0.568082,1.0,0.734103,0.758651,1,2.6652,5-D,20,20,9283.422,9842.703,2.032,1.0
4,7500,dci_gated,18,MixCalm,0,0.923755,1.0,0.735778,1.0,0.778974,0.894941,0,2.652,5-D,20,20,7501.123,8181.305,2.4446,1.0
4,7500,dci_gated,19,MixCalm,0,0.867263,1.0,0.67308,1.0,0.665641,0.851278,0,2.679,5-D,20,20,9418.296,9879.119,2.0245,1.0
4,7500,dci_gated,20,MixCalm,0,0.894343,1.0,0.813614,1.0,0.687179,0.889385,0,2.6679,5-D,20,20,10284.603,10833.093,1.8462,1.0
4,7500,dci_gated,21,MixShift3,1,0.646599,1.0,0.40805,0.811905,0.748974,0.717987,1,2.4683,5-D,20,20,11025.908,11545.674,1.7323,1.0
4,7500,dci_gated,22,MixShift3,0,0.892239,1.0,0.700714,1.0,0.756026,0.876606,0,2.4631,5-D,20,20,8394.914,9076.882,2.2034,1.0
4,7500,dci_gated,23,MixShift3,0,0.854174,1.0,0.667587,0.980769,0.710513,0.849792,0,2.4697,5-D,20,20,8098.234,8539.499,2.3421,1.0
4,7500,dci_gated,24,MixShift3,0,0.78722,1.0,0.547861,0.980769,0.828718,0.826839,0,2.4887,5-D,20,20,9789.447,10437.984,1.9161,1.0
5,7600,dci_gated,1,MixBase,0,0.860812,1.0,0.698268,1.0,0.840385,0.880914,0,,5-D,20,20,5399.226,5911.102,3.3835,1.0
5,7600,dci_gated,2,MixBase,0,0.792377,1.0,0.560876,0.880952,0.752436,0.799325,0,,5-D,20,20,4415.38,4996.143,4.0031,1.0
5,7600,dci_gated,3,MixBase,0,0.798913,1.0,0.684295,0.880952,0.720897,0.820912,0,2.0766,5-D,20,20,4322.571,4921.501,4.0638,1.0
5,7600,dci_gated,4,MixBase,0,0.839868,1.0,0.722432,1.0,0.758718,0.868261,0,2.2591,5-D,20,20,3921.273,4470.559,4.4737,1.0
5,7600,dci_gated,5,MixShift1,1,0.651489,1.0,0.464597,0.440092,0.733462,0.653829,1,1.1308,1-D,20,20,5196.443,5658.016,3.5348,1.0
5,7600,dci_gated,6,MixShift1,0,0.97895,1.0,0.786394,1.0,0.82359,0.925555,0,1.2255,1-D,20,20,4577.474,5155.14,3.8796,1.0
5,7600,dci_gated,7,MixShift1,0,0.910463,1.0,0.733022,1.0,0.607436,0.865336,0,1.3448,1-D,20,20,5353.445,5891.27,3.3949,1.0
5,7600,dci_gated,8,MixShift1,0,0.896497,1.0,0.775005,1.0,0.750513,0.891702,0,1.3763,1-D,20,20,5027.246,5503.876,3.6338,1.0
5,7600,dci_gated,9,MixSurge1,1,0.913002,0.625,0.79708,1.0,0.725769,0.821532,1,2.0237,5-D,32,32,8951.982,9875.564,3.2403,1.0
5,7600,dci_gated,10,MixSurge1,0,0.978996,1.0,0.905411,1.0,0.689609,0.929272,0,2.1455,5-D,32,32,8857.621,9944.97,3.2177,1.0
5,7600,dci_gated,11,MixSurge1,0,0.9158,1.0,0.754893,1.0,0.792686,0.898831,0,2.148,5-D,32,32,8995.248,9997.858,3.2007,1.0
5,7600,dci_gated,12,MixSurge1,0,0.894461,1.0,0.704768,1.0,0.796788,0.884087,0,2.151,5-D,32,32,8394.061,9362.527,3.4179,1.0
5,7600,dci_gated,13,MixShift2,1,0.644619,1.0,0.445075,0.807882,0.660729,0.710855,1,2.0483,5-D,32,32,15951.266,16824.284,1.902,1.0
5,7600,dci_gated,14,MixShift2,0,0.898586,1.0,0.773816,1.0,0.735682,0.889762,0,2.0465,5-D,32,32,12399.097,13436.852,2.3815,1.0
5,7600,dci_gated,15,MixShift2,0,0.970274,1.0,0.883732,1.0,0.760027,0.933319,0,2.0429,5-D,32,32,12852.363,13521.733,2.3666,1.0
5,7600,dci_gated,16,MixShift2,0,0.944342,1.0,0.86968,1.0,0.708043,0.916228,0,2.0408,5-D,32,32,13296.913,14049.711,2.2776,1.0
5,7600,dci_gated,17,MixCalm,1,0.882346,0.625,0.619108,1.0,0.706538,0.775389,1,2.3845,5-D,20,20,8960.593,9483.785,2.1089,1.0
5,7600,dci_gated,18,MixCalm,0,0.9579,1.0,0.809174,1.0,0.843974,0.927906,0,2.3813,5-D,20,20,10304.168,11047.645,1.8103,1.0
