block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.8121794871794872,0.8419851314996369,0,,5-D,20,20,0,427.03,427.329,46.8024
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,,5-D,20,20,0,383.387,383.719,52.1215
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.755897435897436,0.8063667544691321,0,1.6613,5-D,20,20,0,549.667,549.923,36.3687
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,1.7584,5-D,20,20,0,316.135,316.522,63.1867
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.8052564102564103,0.4592479941253994,1,1.1453,5-D,20,20,0,7016.586,7017.214,2.8501
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6670512820512821,0.6485171277921352,1,1.1618,5-D,20,20,0,3853.912,3854.466,5.1888
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7719230769230769,0.7728836005966802,0,1.1601,5-D,20,20,0,2038.011,2038.437,9.8114
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7111538461538461,0.704990753273743,1,1.2403,5-D,20,20,0,1847.123,1847.592,10.8249
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8792307692307693,0.6581027681291519,1,1.7771,5-D,48,48,0,5428.913,5429.839,8.84
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8270878721859114,0.8805851632892633,0,1.776,5-D,48,48,0,3689.36,3690.368,13.0068
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6793028322440088,0.8101361591025179,0,1.7863,5-D,48,48,0,2761.279,2762.226,17.3773
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.6996732026143792,0.8572834534232631,0,1.7821,5-D,48,48,0,3155.881,3156.765,15.2054
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6755991285403051,0.5618483272983643,1,1.7535,5-D,48,48,0,21416.448,21417.26,2.2412
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.7918663761801017,0.9353634517905937,0,1.7251,5-D,48,48,0,1423.771,1424.342,33.6998
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7340232389251997,0.8485598832667685,0,1.725,5-D,48,48,0,800.707,801.205,59.9097
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7220406681190996,0.8035773672645719,0,1.7707,5-D,48,48,0,1252.58,1253.106,38.3048
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.7107692307692308,0.755701577812656,1,2.1146,5-D,20,20,0,790.441,790.653,25.2955
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7892307692307692,0.8105725184042234,0,2.1525,5-D,20,20,0,515.531,515.752,38.7784
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7855128205128206,0.8709025485980764,0,2.1435,5-D,20,20,0,318.791,319.015,62.693
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.8592307692307692,0.8529023199228568,0,2.1608,5-D,20,20,0,501.131,501.371,39.8906
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7507692307692309,0.5516358663000235,1,1.9444,5-D,20,20,0,510.944,511.219,39.1222
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6573076923076924,0.7681252149247457,0,1.987,5-D,20,20,0,476.792,477.073,41.9223
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,1.9911,5-D,20,20,0,304.309,304.621,65.6553
