workload,config,seed,dci,eff_rank,stable_rank,p1
tpch,template_only,0,1.006416817517787,1.0240121279949501,1.0032059193869176,0.9968043256873156
tpch,template_only,1,1.0157914542518882,1.0506401756201007,1.0078870263018032,0.9921746921073659
tpch,template_only,2,1.074935124061878,1.17835105228212,1.037426169581501,0.9639240163021925
tpch,template_only,3,1.009868874646707,1.0321398921471976,1.0049338788584334,0.995090344785631
tpch,template_only,4,1.0117529605991036,1.0391453276272495,1.0058720303036564,0.9941622491462621
tpch,template_only,5,1.0395502207494618,1.1028751262722583,1.0197729349758045,0.9806104532708808
tpch,template_only,6,1.0139031383602346,1.0458062156982617,1.0069436295997682,0.9931042519207077
tpch,template_only,7,1.0067483326558129,1.024095735178987,1.0033728960742114,0.996638442111195
tpch,template_only,8,1.022563363494791,1.0687928360486851,1.011263412593689,0.9888620388581046
tpch,template_only,9,1.047924218758578,1.1245215171451897,1.023932079919143,0.9766272779332856
tpch,template_only,10,1.0374090466571213,1.101638152340981,1.018683190869302,0.9816594687761967
tpch,template_only,11,1.025227369739951,1.073722165791376,1.0126003869686013,0.9875564071170041
tpch,template_only,12,1.0402591381835529,1.1081143908380613,1.0201048126407364,0.9802914245755872
tpch,template_only,13,1.0231397431253693,1.0717810436263422,1.0115430064627076,0.9885887140843643
tpch,template_only,14,1.008845275082752,1.0301786038730882,1.0044209033392022,0.9955985550235913
tpch,template_only,15,1.0148736040482396,1.0460932889428765,1.0074345058913337,0.992620358099849
tpch,template_only,16,1.0425258835537803,1.110500673474243,1.0212535663908915,0.9791887469573286
tpch,template_only,17,1.0100316303227057,1.0350302253830086,1.0050106593801322,0.9950143221533365
tpch,template_only,18,1.016920260800454,1.0535223120698476,1.0084508405538137,0.9916199776786613
tpch,template_only,19,1.0190977597418214,1.0592717122855464,1.0095373620470351,0.9905527398929582
tpch,template_only,20,1.0327299515664075,1.0934043445903714,1.0163329722929944,0.9839295066299535
tpch,template_only,21,1.0246759980314928,1.074303003934982,1.0123158206442042,0.9878340134639337
tpch,template_only,22,1.0014700290763923,1.006052681764983,1.0007350149352856,0.9992655249148716
tpch,template_only,23,1.0313131669385123,1.0898069644257735,1.0156283201639518,0.9846121658350084
tpch,template_only,24,1.0196335163617414,1.0602328867172923,1.0098063501567303,0.9902888804816803
tpch,template_only,25,1.016341901010265,1.0513619352855728,1.0081641863148456,0.9919019278549376
tpch,template_only,26,1.0322923383755132,1.0884790720254736,1.0161371585927212,0.9841191137866958
tpch,template_only,27,1.0365451962394632,1.101967328404178,1.0182367578960536,0.9820898649016211
tpch,template_only,28,1.0835668249390495,1.188425594553074,1.0418156384391126,0.9598627272462886
tpch,template_only,29,1.0223376681586078,1.062642068323476,1.0111702276592505,0.9889531679694443
tpch,template_only,30,1.017295790308788,1.0519883332617797,1.0086458447223587,0.9914282651660171
tpch,template_only,31,1.0370503212372169,1.1009045262392403,1.0185036847966689,0.9818324812439311
tpch,template_only,32,1.0267006772099083,1.0750648319972316,1.0133454360715932,0.9868303190634291
tpch,template_only,33,1.033129285337588,1.0914299675080081,1.0165497496095204,0.9837196855187093
tpch,template_only,34,1.0134445364088125,1.0445224391847108,1.0067147907067118,0.9933299969676636
tpch,template_only,35,1.024882038288533,1.0720222953124465,1.0124317510939715,0.9877208996255415
