workload,config,dci,eff_rank,stable_rank,p1,regime
job,mixed,1.9186513455014966,2.111122431152437,1.6164241515813855,0.6271628250497099,HIGH
job,template_only,1.106946776491054,1.220202367624032,1.0538743469536613,0.9502053467003723,LOW
job,volume_only,1.1280399045416865,1.2635489716321973,1.064761874028418,0.9415002194777974,LOW
pgbench,mixed,1.7531336495909855,1.8548948967977639,1.5172425496353825,0.6772745674228321,HIGH
pgbench,template_only,1.032579128461733,1.0804798722558868,1.0163056361945668,0.9841242420096218,LOW
pgbench,volume_only,1.0075071936185136,1.024610778624949,1.0037536673669663,0.9962622022836155,LOW
tpch,mixed,1.9682984087843962,2.1688421768789286,1.624291567142719,0.625570867954006,HIGH
tpch,template_only,1.0248644089589818,1.0699117104329374,1.0124218616946221,0.9877967335605539,LOW
tpch,volume_only,1.4105001687513847,1.5653600024453243,1.2247891243390212,0.8270971939785328,LOW
