analysis_timestamp_utc,run_id,block,window_start,window_end,dci
2026-07-05T13:12:27Z,20260705T131224Z,0,0,50,1.8942199580
2026-07-05T13:12:27Z,20260705T131224Z,1,50,100,1.6917501364
2026-07-05T13:12:27Z,20260705T131224Z,2,100,150,1.9748150721
2026-07-05T13:12:27Z,20260705T131224Z,3,150,200,1.9118205402
2026-07-05T13:12:27Z,20260705T131224Z,4,200,250,1.8350582740
2026-07-05T13:12:27Z,20260705T131224Z,5,250,300,1.7854669094
2026-07-05T13:12:27Z,20260705T131224Z,6,300,350,1.3052623523
2026-07-05T13:12:27Z,20260705T131224Z,7,350,400,1.8675266897
2026-07-05T13:12:27Z,20260705T131224Z,8,400,450,1.7086090050
2026-07-05T13:12:27Z,20260705T131224Z,9,450,500,1.8920770285
2026-07-05T13:12:27Z,20260705T131224Z,10,500,550,1.7699973343
2026-07-05T13:12:27Z,20260705T131224Z,11,550,600,1.3450551378
2026-07-05T13:12:27Z,20260705T131224Z,12,600,650,1.6463513565
2026-07-05T13:12:27Z,20260705T131224Z,13,650,700,1.5682358950
2026-07-05T13:12:27Z,20260705T131224Z,14,700,750,1.8050824892
2026-07-05T13:12:27Z,20260705T131224Z,15,750,800,1.5373152844
2026-07-05T13:12:27Z,20260705T131224Z,16,800,850,1.7399435379
2026-07-05T13:12:27Z,20260705T131224Z,17,850,900,1.8559001523
2026-07-05T13:12:27Z,20260705T131224Z,18,900,950,1.7735593065
2026-07-05T13:12:27Z,20260705T131224Z,19,950,1000,1.8209735892
2026-07-05T13:12:27Z,20260705T131224Z,20,1000,1050,1.5956822564
2026-07-05T13:12:27Z,20260705T131224Z,21,1050,1100,1.7580453210
2026-07-05T13:12:27Z,20260705T131224Z,22,1100,1150,1.7099697645
2026-07-05T13:12:27Z,20260705T131224Z,23,1150,1200,1.8694029737
2026-07-05T13:12:27Z,20260705T131224Z,24,1200,1250,1.7661729835
2026-07-05T13:12:27Z,20260705T131224Z,25,1250,1300,1.7441985829
2026-07-05T13:12:27Z,20260705T131224Z,26,1300,1350,1.7247759990
2026-07-05T13:12:27Z,20260705T131224Z,27,1350,1400,1.5137685513
2026-07-05T13:12:27Z,20260705T131224Z,28,1400,1450,1.6519698437
2026-07-05T13:12:27Z,20260705T131224Z,29,1450,1500,1.5238316147
2026-07-05T13:12:27Z,20260705T131224Z,30,1500,1550,1.4251475023
2026-07-05T13:12:27Z,20260705T131224Z,31,1550,1600,1.2354883660
2026-07-05T13:12:27Z,20260705T131224Z,32,1600,1650,1.0879867125
2026-07-05T13:12:27Z,20260705T131224Z,33,1650,1700,1.2416956327
2026-07-05T13:12:27Z,20260705T131224Z,34,1700,1750,1.1580633387
2026-07-05T13:12:27Z,20260705T131224Z,35,1750,1800,1.3730147022
2026-07-05T13:12:27Z,20260705T131224Z,36,1800,1850,1.1713745380
2026-07-05T13:12:27Z,20260705T131224Z,37,1850,1900,1.3063386598
2026-07-05T13:12:27Z,20260705T131224Z,38,1900,1950,1.2221648451
2026-07-05T13:12:27Z,20260705T131224Z,39,1950,2000,1.5412354664
2026-07-05T13:12:27Z,20260705T131224Z,40,2000,2050,1.5165211537
2026-07-05T13:12:27Z,20260705T131224Z,41,2050,2100,1.4322684416
2026-07-05T13:12:27Z,20260705T131224Z,42,2100,2150,1.1877234471
2026-07-05T13:12:27Z,20260705T131224Z,43,2150,2200,1.8466392269
2026-07-05T13:12:27Z,20260705T131224Z,44,2200,2250,1.3441166903
2026-07-05T13:12:27Z,20260705T131224Z,45,2250,2300,1.2955947959
2026-07-05T13:12:27Z,20260705T131224Z,46,2300,2350,1.4566779855
2026-07-05T13:12:27Z,20260705T131224Z,47,2350,2400,1.2074355573
2026-07-05T13:12:27Z,20260705T131224Z,48,2400,2450,1.4002976323
2026-07-05T13:12:27Z,20260705T131224Z,49,2450,2500,1.3661176139
2026-07-05T13:12:27Z,20260705T131224Z,50,2500,2550,1.4504667932
2026-07-05T13:12:27Z,20260705T131224Z,51,2550,2600,1.5731449151
2026-07-05T13:12:27Z,20260705T131224Z,52,2600,2650,1.4487927403
2026-07-05T13:12:27Z,20260705T131224Z,53,2650,2700,1.4198010494
2026-07-05T13:12:27Z,20260705T131224Z,54,2700,2750,1.1252463254
2026-07-05T13:12:27Z,20260705T131224Z,55,2750,2800,1.5773264213
2026-07-05T13:12:27Z,20260705T131224Z,56,2800,2850,1.6903823778
2026-07-05T13:12:27Z,20260705T131224Z,57,2850,2900,1.4871544042
2026-07-05T13:12:27Z,20260705T131224Z,58,2900,2950,1.6133236687
2026-07-05T13:12:27Z,20260705T131224Z,59,2950,3000,1.4247814577
2026-07-05T13:12:27Z,20260705T131224Z,60,3000,3050,1.3527413823
2026-07-05T13:12:27Z,20260705T131224Z,61,3050,3100,1.4034196831
2026-07-05T13:12:27Z,20260705T131224Z,62,3100,3150,1.2329449096
2026-07-05T13:12:27Z,20260705T131224Z,63,3150,3200,1.2346974029
2026-07-05T13:12:27Z,20260705T131224Z,64,3200,3250,1.5288821324
2026-07-05T13:12:27Z,20260705T131224Z,65,3250,3300,1.4611200402
2026-07-05T13:12:27Z,20260705T131224Z,66,3300,3350,1.5719883665
2026-07-05T13:12:27Z,20260705T131224Z,67,3350,3400,1.2299950591
2026-07-05T13:12:27Z,20260705T131224Z,68,3400,3450,1.8930861131
2026-07-05T13:12:27Z,20260705T131224Z,69,3450,3500,1.8139723650
2026-07-05T13:12:27Z,20260705T131224Z,70,3500,3550,1.3799458477
2026-07-05T13:12:27Z,20260705T131224Z,71,3550,3600,1.2934122745
2026-07-05T13:12:27Z,20260705T131224Z,72,3600,3650,1.6224432517
2026-07-05T13:12:27Z,20260705T131224Z,73,3650,3700,1.4024043979
2026-07-05T13:12:27Z,20260705T131224Z,74,3700,3750,1.7342354817
2026-07-05T13:12:27Z,20260705T131224Z,75,3750,3800,1.1277726884
2026-07-05T13:12:27Z,20260705T131224Z,76,3800,3850,1.0398788483
2026-07-05T13:12:27Z,20260705T131224Z,77,3850,3900,1.3460400219
2026-07-05T13:12:27Z,20260705T131224Z,78,3900,3950,1.4516772541
2026-07-05T13:12:27Z,20260705T131224Z,79,3950,4000,1.4529448956
2026-07-05T13:12:27Z,20260705T131224Z,80,4000,4050,1.3340256412
2026-07-05T13:12:27Z,20260705T131224Z,81,4050,4100,1.9266732864
2026-07-05T13:12:27Z,20260705T131224Z,82,4100,4150,1.7084479368
2026-07-05T13:12:27Z,20260705T131224Z,83,4150,4200,1.5462374118
2026-07-05T13:12:27Z,20260705T131224Z,84,4200,4250,1.7002450704
2026-07-05T13:12:27Z,20260705T131224Z,85,4250,4300,1.4349479475
2026-07-05T13:12:27Z,20260705T131224Z,86,4300,4350,1.6817076194
2026-07-05T13:12:27Z,20260705T131224Z,87,4350,4400,1.6837657157
2026-07-05T13:12:27Z,20260705T131224Z,88,4400,4450,1.4496347698
2026-07-05T13:12:27Z,20260705T131224Z,89,4450,4500,1.1839693501
2026-07-05T13:12:27Z,20260705T131224Z,90,4500,4550,1.3094070117
