cand_id,stratum,policy,hit,fa
14,cross/offaxis/l1,union4_bonf,1,14
14,cross/offaxis/l1,dci_v3,1,16
14,cross/offaxis/l1,dci_v3_a8,1,16
14,cross/offaxis/l1,best_axis_oracle,1,9
14,cross/offaxis/l1,every_k2,1,8
14,cross/offaxis/l1,adwin,0,0
14,cross/offaxis/l1,mcusum,1,8
14,cross/offaxis/l1,sketch1,0,6
15,cross/offaxis/l0.05,always_multiD,1,15
15,cross/offaxis/l0.05,union4_bonf,0,10
15,cross/offaxis/l0.05,dci_v3,1,13
15,cross/offaxis/l0.05,dci_v3_a8,1,14
15,cross/offaxis/l0.05,best_axis_oracle,0,0
15,cross/offaxis/l0.05,every_k2,1,6
15,cross/offaxis/l0.05,adwin,0,0
15,cross/offaxis/l0.05,mcusum,0,2
15,cross/offaxis/l0.05,sketch1,1,7
16,cross/offaxis/l0.1,always_multiD,1,13
16,cross/offaxis/l0.1,union4_bonf,0,7
16,cross/offaxis/l0.1,dci_v3,1,11
16,cross/offaxis/l0.1,dci_v3_a8,1,11
16,cross/offaxis/l0.1,best_axis_oracle,0,0
16,cross/offaxis/l0.1,every_k2,0,7
16,cross/offaxis/l0.1,adwin,0,0
16,cross/offaxis/l0.1,mcusum,0,2
16,cross/offaxis/l0.1,sketch1,1,7
17,cross/offaxis/l0.2,always_multiD,0,15
17,cross/offaxis/l0.2,union4_bonf,0,11
17,cross/offaxis/l0.2,dci_v3,0,13
17,cross/offaxis/l0.2,dci_v3_a8,0,13
17,cross/offaxis/l0.2,best_axis_oracle,0,0
17,cross/offaxis/l0.2,every_k2,0,6
17,cross/offaxis/l0.2,adwin,0,0
17,cross/offaxis/l0.2,mcusum,0,3
17,cross/offaxis/l0.2,sketch1,0,10
18,cross/offaxis/l0.4,always_multiD,1,18
18,cross/offaxis/l0.4,union4_bonf,1,10
18,cross/offaxis/l0.4,dci_v3,1,16
18,cross/offaxis/l0.4,dci_v3_a8,1,16
18,cross/offaxis/l0.4,best_axis_oracle,1,9
18,cross/offaxis/l0.4,every_k2,0,10
18,cross/offaxis/l0.4,adwin,0,0
18,cross/offaxis/l0.4,mcusum,0,3
18,cross/offaxis/l0.4,sketch1,0,12
19,cross/offaxis/l1,always_multiD,1,18
19,cross/offaxis/l1,union4_bonf,1,14
19,cross/offaxis/l1,dci_v3,1,16
19,cross/offaxis/l1,dci_v3_a8,1,16
19,cross/offaxis/l1,best_axis_oracle,1,10
19,cross/offaxis/l1,every_k2,0,10
19,cross/offaxis/l1,adwin,0,0
19,cross/offaxis/l1,mcusum,1,6
19,cross/offaxis/l1,sketch1,0,15
20,cross/offaxis/l0.05,always_multiD,1,18
20,cross/offaxis/l0.05,union4_bonf,1,14
20,cross/offaxis/l0.05,dci_v3,1,16
20,cross/offaxis/l0.05,dci_v3_a8,1,16
20,cross/offaxis/l0.05,best_axis_oracle,1,11
20,cross/offaxis/l0.05,every_k2,1,8
20,cross/offaxis/l0.05,adwin,0,0
20,cross/offaxis/l0.05,mcusum,1,3
20,cross/offaxis/l0.05,sketch1,1,14
21,cross/offaxis/l0.1,always_multiD,1,18
21,cross/offaxis/l0.1,union4_bonf,1,14
21,cross/offaxis/l0.1,dci_v3,1,16
21,cross/offaxis/l0.1,dci_v3_a8,1,16
21,cross/offaxis/l0.1,best_axis_oracle,1,11
21,cross/offaxis/l0.1,every_k2,1,8
21,cross/offaxis/l0.1,adwin,0,0
21,cross/offaxis/l0.1,mcusum,1,4
21,cross/offaxis/l0.1,sketch1,1,15
22,cross/offaxis/l0.2,always_multiD,1,18
22,cross/offaxis/l0.2,union4_bonf,1,14
22,cross/offaxis/l0.2,dci_v3,1,16
22,cross/offaxis/l0.2,dci_v3_a8,1,16
22,cross/offaxis/l0.2,best_axis_oracle,1,11
22,cross/offaxis/l0.2,every_k2,1,8
22,cross/offaxis/l0.2,adwin,0,0
22,cross/offaxis/l0.2,mcusum,0,4
22,cross/offaxis/l0.2,sketch1,1,15
23,cross/offaxis/l0.4,always_multiD,1,18
23,cross/offaxis/l0.4,union4_bonf,1,14
23,cross/offaxis/l0.4,dci_v3,1,16
23,cross/offaxis/l0.4,dci_v3_a8,1,16
23,cross/offaxis/l0.4,best_axis_oracle,1,11
23,cross/offaxis/l0.4,every_k2,0,10
23,cross/offaxis/l0.4,adwin,0,0
23,cross/offaxis/l0.4,mcusum,1,3
23,cross/offaxis/l0.4,sketch1,1,15
24,cross/offaxis/l1,always_multiD,1,18
24,cross/offaxis/l1,union4_bonf,1,14
24,cross/offaxis/l1,dci_v3,1,16
24,cross/offaxis/l1,dci_v3_a8,1,16
24,cross/offaxis/l1,best_axis_oracle,1,11
24,cross/offaxis/l1,every_k2,1,8
24,cross/offaxis/l1,adwin,0,0
24,cross/offaxis/l1,mcusum,1,3
24,cross/offaxis/l1,sketch1,0,15
25,cross/offaxis/l0.05,always_multiD,0,2
25,cross/offaxis/l0.05,union4_bonf,0,2
25,cross/offaxis/l0.05,dci_v3,0,2
25,cross/offaxis/l0.05,dci_v3_a8,0,2
25,cross/offaxis/l0.05,best_axis_oracle,0,0
25,cross/offaxis/l0.05,every_k2,0,0
25,cross/offaxis/l0.05,adwin,0,0
25,cross/offaxis/l0.05,mcusum,0,0
25,cross/offaxis/l0.05,sketch1,0,1
26,cross/offaxis/l0.1,always_multiD,0,1
26,cross/offaxis/l0.1,union4_bonf,0,2
26,cross/offaxis/l0.1,dci_v3,0,2
26,cross/offaxis/l0.1,dci_v3_a8,0,2
26,cross/offaxis/l0.1,best_axis_oracle,0,0
26,cross/offaxis/l0.1,every_k2,0,1
26,cross/offaxis/l0.1,adwin,0,0
26,cross/offaxis/l0.1,mcusum,0,0
26,cross/offaxis/l0.1,sketch1,0,1
27,cross/offaxis/l0.2,always_multiD,0,1
27,cross/offaxis/l0.2,union4_bonf,0,2
27,cross/offaxis/l0.2,dci_v3,0,2
27,cross/offaxis/l0.2,dci_v3_a8,0,2
27,cross/offaxis/l0.2,best_axis_oracle,0,0
27,cross/offaxis/l0.2,every_k2,0,1
27,cross/offaxis/l0.2,adwin,0,0
27,cross/offaxis/l0.2,mcusum,0,0
27,cross/offaxis/l0.2,sketch1,0,3
28,cross/offaxis/l0.4,always_multiD,0,2
28,cross/offaxis/l0.4,union4_bonf,0,1
28,cross/offaxis/l0.4,dci_v3,0,1
28,cross/offaxis/l0.4,dci_v3_a8,0,1
28,cross/offaxis/l0.4,best_axis_oracle,0,0
28,cross/offaxis/l0.4,every_k2,0,1
28,cross/offaxis/l0.4,adwin,0,0
28,cross/offaxis/l0.4,mcusum,0,0
28,cross/offaxis/l0.4,sketch1,0,7
29,cross/offaxis/l1,always_multiD,1,12
29,cross/offaxis/l1,union4_bonf,1,11
29,cross/offaxis/l1,dci_v3,1,12
29,cross/offaxis/l1,dci_v3_a8,1,12
29,cross/offaxis/l1,best_axis_oracle,1,0
29,cross/offaxis/l1,every_k2,1,5
29,cross/offaxis/l1,adwin,0,0
29,cross/offaxis/l1,mcusum,0,1
29,cross/offaxis/l1,sketch1,0,12
30,cross/offaxis/l0.05,always_multiD,0,2
30,cross/offaxis/l0.05,union4_bonf,0,2
30,cross/offaxis/l0.05,dci_v3,0,2
30,cross/offaxis/l0.05,dci_v3_a8,0,2
30,cross/offaxis/l0.05,best_axis_oracle,0,0
30,cross/offaxis/l0.05,every_k2,0,0
30,cross/offaxis/l0.05,adwin,0,0
30,cross/offaxis/l0.05,mcusum,0,0
30,cross/offaxis/l0.05,sketch1,0,1
31,cross/offaxis/l0.1,always_multiD,0,2
31,cross/offaxis/l0.1,union4_bonf,0,2
31,cross/offaxis/l0.1,dci_v3,0,2
31,cross/offaxis/l0.1,dci_v3_a8,0,2
31,cross/offaxis/l0.1,best_axis_oracle,0,0
31,cross/offaxis/l0.1,every_k2,0,2
31,cross/offaxis/l0.1,adwin,0,0
31,cross/offaxis/l0.1,mcusum,0,0
31,cross/offaxis/l0.1,sketch1,0,1
32,cross/offaxis/l0.2,always_multiD,0,1
32,cross/offaxis/l0.2,union4_bonf,0,1
32,cross/offaxis/l0.2,dci_v3,0,1
32,cross/offaxis/l0.2,dci_v3_a8,0,1
32,cross/offaxis/l0.2,best_axis_oracle,0,0
32,cross/offaxis/l0.2,every_k2,0,1
32,cross/offaxis/l0.2,adwin,0,0
32,cross/offaxis/l0.2,mcusum,0,0
32,cross/offaxis/l0.2,sketch1,0,1
33,cross/offaxis/l0.4,always_multiD,1,1
33,cross/offaxis/l0.4,union4_bonf,0,1
33,cross/offaxis/l0.4,dci_v3,0,1
33,cross/offaxis/l0.4,dci_v3_a8,0,1
33,cross/offaxis/l0.4,best_axis_oracle,1,0
33,cross/offaxis/l0.4,every_k2,1,0
33,cross/offaxis/l0.4,adwin,0,0
33,cross/offaxis/l0.4,mcusum,0,0
33,cross/offaxis/l0.4,sketch1,0,1
34,cross/offaxis/l1,always_multiD,1,3
34,cross/offaxis/l1,union4_bonf,1,4
34,cross/offaxis/l1,dci_v3,1,4
34,cross/offaxis/l1,dci_v3_a8,1,4
34,cross/offaxis/l1,best_axis_oracle,1,2
34,cross/offaxis/l1,every_k2,0,2
34,cross/offaxis/l1,adwin,0,0
34,cross/offaxis/l1,mcusum,0,0
34,cross/offaxis/l1,sketch1,0,4
35,cross/offaxis/l0.05,always_multiD,0,2
35,cross/offaxis/l0.05,union4_bonf,0,2
35,cross/offaxis/l0.05,dci_v3,0,2
35,cross/offaxis/l0.05,dci_v3_a8,0,2
35,cross/offaxis/l0.05,best_axis_oracle,0,0
35,cross/offaxis/l0.05,every_k2,0,2
35,cross/offaxis/l0.05,adwin,0,0
35,cross/offaxis/l0.05,mcusum,0,0
35,cross/offaxis/l0.05,sketch1,0,1
36,cross/offaxis/l0.1,always_multiD,0,2
36,cross/offaxis/l0.1,union4_bonf,0,2
36,cross/offaxis/l0.1,dci_v3,0,2
36,cross/offaxis/l0.1,dci_v3_a8,0,2
36,cross/offaxis/l0.1,best_axis_oracle,0,0
36,cross/offaxis/l0.1,every_k2,0,2
36,cross/offaxis/l0.1,adwin,0,0
36,cross/offaxis/l0.1,mcusum,0,0
36,cross/offaxis/l0.1,sketch1,0,1
37,cross/offaxis/l0.2,always_multiD,0,2
37,cross/offaxis/l0.2,union4_bonf,0,2
37,cross/offaxis/l0.2,dci_v3,0,2
37,cross/offaxis/l0.2,dci_v3_a8,0,2
37,cross/offaxis/l0.2,best_axis_oracle,0,0
37,cross/offaxis/l0.2,every_k2,0,0
37,cross/offaxis/l0.2,adwin,0,0
37,cross/offaxis/l0.2,mcusum,0,0
37,cross/offaxis/l0.2,sketch1,0,1
38,cross/offaxis/l0.4,always_multiD,0,3
38,cross/offaxis/l0.4,union4_bonf,0,2
38,cross/offaxis/l0.4,dci_v3,0,2
38,cross/offaxis/l0.4,dci_v3_a8,0,2
38,cross/offaxis/l0.4,best_axis_oracle,0,0
38,cross/offaxis/l0.4,every_k2,0,2
38,cross/offaxis/l0.4,adwin,0,0
38,cross/offaxis/l0.4,mcusum,0,0
38,cross/offaxis/l0.4,sketch1,0,1
39,cross/offaxis/l1,always_multiD,1,12
39,cross/offaxis/l1,union4_bonf,1,7
39,cross/offaxis/l1,dci_v3,1,10
39,cross/offaxis/l1,dci_v3_a8,1,10
39,cross/offaxis/l1,best_axis_oracle,1,8
39,cross/offaxis/l1,every_k2,0,7
39,cross/offaxis/l1,adwin,0,0
39,cross/offaxis/l1,mcusum,0,2
39,cross/offaxis/l1,sketch1,0,2
40,cross/offaxis/l0.05,always_multiD,0,2
40,cross/offaxis/l0.05,union4_bonf,0,2
40,cross/offaxis/l0.05,dci_v3,0,2
40,cross/offaxis/l0.05,dci_v3_a8,0,2
40,cross/offaxis/l0.05,best_axis_oracle,0,0
40,cross/offaxis/l0.05,every_k2,0,0
40,cross/offaxis/l0.05,adwin,0,0
40,cross/offaxis/l0.05,mcusum,0,0
40,cross/offaxis/l0.05,sketch1,0,1
41,cross/offaxis/l0.1,always_multiD,0,2
41,cross/offaxis/l0.1,union4_bonf,0,2
41,cross/offaxis/l0.1,dci_v3,0,2
41,cross/offaxis/l0.1,dci_v3_a8,0,2
41,cross/offaxis/l0.1,best_axis_oracle,0,0
41,cross/offaxis/l0.1,every_k2,0,2
41,cross/offaxis/l0.1,adwin,0,0
41,cross/offaxis/l0.1,mcusum,0,0
41,cross/offaxis/l0.1,sketch1,0,1
42,cross/offaxis/l0.2,always_multiD,0,3
42,cross/offaxis/l0.2,union4_bonf,0,1
42,cross/offaxis/l0.2,dci_v3,0,1
42,cross/offaxis/l0.2,dci_v3_a8,0,1
42,cross/offaxis/l0.2,best_axis_oracle,0,0
42,cross/offaxis/l0.2,every_k2,0,2
42,cross/offaxis/l0.2,adwin,0,0
42,cross/offaxis/l0.2,mcusum,0,0
42,cross/offaxis/l0.2,sketch1,0,1
43,cross/offaxis/l0.4,always_multiD,1,2
43,cross/offaxis/l0.4,union4_bonf,0,1
43,cross/offaxis/l0.4,dci_v3,0,1
43,cross/offaxis/l0.4,dci_v3_a8,0,1
43,cross/offaxis/l0.4,best_axis_oracle,1,0
43,cross/offaxis/l0.4,every_k2,0,1
43,cross/offaxis/l0.4,adwin,0,0
43,cross/offaxis/l0.4,mcusum,0,0
43,cross/offaxis/l0.4,sketch1,0,1
44,cross/offaxis/l1,always_multiD,1,5
44,cross/offaxis/l1,union4_bonf,1,2
44,cross/offaxis/l1,dci_v3,1,3
44,cross/offaxis/l1,dci_v3_a8,1,4
