id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
67,cross,14,1065,96,56065,0.2,cross/offaxis/l0.2,1.0,1.3229,1.0,0
68,cross,14,1065,96,56065,0.4,cross/offaxis/l0.4,1.0,1.6791,1.0,3
69,cross,14,1065,96,56065,1.0,cross/offaxis/l1,0.1944,1.2957,0.1944,12
70,cross,14,1065,96,20065,0.05,cross/offaxis/l0.05,1.0,1.1659,1.0,0
71,cross,14,1065,96,20065,0.1,cross/offaxis/l0.1,1.0,1.1871,1.0,0
72,cross,14,1065,96,20065,0.2,cross/offaxis/l0.2,1.0,1.3117,1.0,0
73,cross,14,1065,96,20065,0.4,cross/offaxis/l0.4,1.0,1.7228,1.0,3
74,cross,14,1065,96,20065,1.0,cross/offaxis/l1,0.1944,1.2957,0.1944,6
75,cross,14,1065,100,3065,0.05,cross/offaxis/l0.05,1.0,1.1546,1.0,0
76,cross,14,1065,100,3065,0.1,cross/offaxis/l0.1,1.0,1.1558,1.0,0
77,cross,14,1065,100,3065,0.2,cross/offaxis/l0.2,1.0,1.1646,1.0,0
78,cross,14,1065,100,3065,0.4,cross/offaxis/l0.4,1.0,1.2149,1.0,0
79,cross,14,1065,100,3065,1.0,cross/offaxis/l1,0.1577,1.4154,0.1436,12
80,cross,14,1065,100,10065,0.05,cross/offaxis/l0.05,1.0,1.1549,1.0,0
81,cross,14,1065,100,10065,0.1,cross/offaxis/l0.1,1.0,1.1565,1.0,0
82,cross,14,1065,100,10065,0.2,cross/offaxis/l0.2,1.0,1.1663,1.0,0
83,cross,14,1065,100,10065,0.4,cross/offaxis/l0.4,1.0,1.2282,1.0,0
84,cross,14,1065,100,10065,1.0,cross/offaxis/l1,0.1561,1.4192,0.1393,12
85,cross,14,1065,100,10065,0.05,cross/offaxis/l0.05,1.0,1.1552,1.0,0
86,cross,14,1065,100,10065,0.1,cross/offaxis/l0.1,1.0,1.1565,1.0,0
