id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
293,cross,14,1065,16,1065,0.4,cross/offaxis/l0.4,1.0,1.7135,1.0,0
294,cross,14,1065,16,1065,1.0,cross/offaxis/l1,0.1543,1.4229,0.1476,12
295,cross,14,1065,16,65,0.05,cross/offaxis/l0.05,1.0,1.1592,1.0,0
296,cross,14,1065,16,65,0.1,cross/offaxis/l0.1,1.0,1.1765,1.0,0
297,cross,14,1065,16,65,0.2,cross/offaxis/l0.2,1.0,1.273,1.0,0
298,cross,14,1065,16,65,0.4,cross/offaxis/l0.4,1.0,1.7635,1.0,0
299,cross,14,1065,16,65,1.0,cross/offaxis/l1,0.1551,1.4212,0.1488,12
300,cross,14,1065,16,2065,0.05,cross/offaxis/l0.05,1.0,1.1614,1.0,0
301,cross,14,1065,16,2065,0.1,cross/offaxis/l0.1,1.0,1.1759,1.0,0
302,cross,14,1065,16,2065,0.2,cross/offaxis/l0.2,1.0,1.2615,1.0,0
303,cross,14,1065,16,2065,0.4,cross/offaxis/l0.4,1.0,1.7284,1.0,0
304,cross,14,1065,16,2065,1.0,cross/offaxis/l1,0.155,1.4215,0.1497,12
305,cross,14,1065,16,65,0.05,cross/offaxis/l0.05,1.0,1.1633,1.0,0
306,cross,14,1065,16,65,0.1,cross/offaxis/l0.1,1.0,1.176,1.0,0
307,cross,14,1065,16,65,0.2,cross/offaxis/l0.2,1.0,1.2758,1.0,0
308,cross,14,1065,16,65,0.4,cross/offaxis/l0.4,1.0,1.7312,1.0,0
309,cross,14,1065,16,65,1.0,cross/offaxis/l1,0.1551,1.4212,0.1488,12
310,cross,14,1065,53,65,0.05,cross/offaxis/l0.05,1.0,1.156,1.0,0
311,cross,14,1065,53,65,0.1,cross/offaxis/l0.1,1.0,1.1701,1.0,0
312,cross,14,1065,53,65,0.2,cross/offaxis/l0.2,1.0,1.226,1.0,0
313,cross,14,1065,53,65,0.4,cross/offaxis/l0.4,1.0,1.5082,1.0,0
314,cross,14,1065,53,65,1.0,cross/offaxis/l1,0.1608,1.4077,0.1481,12
315,cross,14,1065,53,65,0.05,cross/offaxis/l0.05,1.0,1.1558,1.0,0
316,cross,14,1065,53,65,0.1,cross/offaxis/l0.1,1.0,1.1655,1.0,0
317,cross,14,1065,53,65,0.2,cross/offaxis/l0.2,1.0,1.2348,1.0,0
318,cross,14,1065,53,65,0.4,cross/offaxis/l0.4,1.0,1.554,1.0,0
319,cross,14,1065,53,65,1.0,cross/offaxis/l1,0.1608,1.4077,0.1481,12
320,cross,14,1065,53,2065,0.05,cross/offaxis/l0.05,1.0,1.1569,1.0,0
321,cross,14,1065,53,2065,0.1,cross/offaxis/l0.1,1.0,1.1642,1.0,0
322,cross,14,1065,53,2065,0.2,cross/offaxis/l0.2,1.0,1.2158,1.0,0
323,cross,14,1065,53,2065,0.4,cross/offaxis/l0.4,1.0,1.5438,1.0,0
324,cross,14,1065,53,2065,1.0,cross/offaxis/l1,0.1563,1.4187,0.1491,12
325,cross,14,1065,53,2065,0.05,cross/offaxis/l0.05,1.0,1.1568,1.0,0
326,cross,14,1065,53,2065,0.1,cross/offaxis/l0.1,1.0,1.1658,1.0,0
327,cross,14,1065,53,2065,0.2,cross/offaxis/l0.2,1.0,1.2113,1.0,0
328,cross,14,1065,53,2065,0.4,cross/offaxis/l0.4,1.0,1.5176,1.0,0
329,cross,14,1065,53,2065,1.0,cross/offaxis/l1,0.1563,1.4187,0.1491,12
330,cross,14,1065,53,1065,0.05,cross/offaxis/l0.05,1.0,1.1575,1.0,0
331,cross,14,1065,53,1065,0.1,cross/offaxis/l0.1,1.0,1.1692,1.0,0
332,cross,14,1065,53,1065,0.2,cross/offaxis/l0.2,1.0,1.243,1.0,0
333,cross,14,1065,53,1065,0.4,cross/offaxis/l0.4,1.0,1.5992,1.0,0
334,cross,14,1065,53,1065,1.0,cross/offaxis/l1,0.1585,1.4136,0.1524,12
335,cross,14,1065,53,2065,0.05,cross/offaxis/l0.05,1.0,1.1589,1.0,0
336,cross,14,1065,53,2065,0.1,cross/offaxis/l0.1,1.0,1.168,1.0,0
337,cross,14,1065,53,2065,0.2,cross/offaxis/l0.2,1.0,1.2249,1.0,0
338,cross,14,1065,53,2065,0.4,cross/offaxis/l0.4,1.0,1.5436,1.0,0
339,cross,14,1065,53,2065,1.0,cross/offaxis/l1,0.1563,1.4187,0.1491,12
340,within,100,65,100,12065,0.05,within/offaxis/l0.05,0.0841,2.7077,0.0841,17
341,within,100,65,100,12065,0.1,within/offaxis/l0.1,0.0915,2.6913,0.0915,14
342,within,100,65,100,12065,0.2,within/offaxis/l0.2,0.103,2.6707,0.103,12
343,within,100,65,100,12065,0.4,within/offaxis/l0.4,0.1164,2.6644,0.1164,10
344,within,100,65,100,12065,1.0,within/offaxis/l1,0.0733,1.6369,0.0733,18
345,within,100,65,100,17065,0.05,within/offaxis/l0.05,0.0817,2.7243,0.0817,17
346,within,100,65,100,17065,0.1,within/offaxis/l0.1,0.0954,2.6748,0.0954,13
347,within,100,65,100,17065,0.2,within/offaxis/l0.2,0.1044,2.6777,0.1044,12
348,within,100,65,100,17065,0.4,within/offaxis/l0.4,0.1173,2.6614,0.1173,10
349,within,100,65,100,17065,1.0,within/offaxis/l1,0.0732,1.6206,0.0732,18
350,within,100,65,100,11065,0.05,within/offaxis/l0.05,0.0835,2.704,0.0835,16
351,within,100,65,100,11065,0.1,within/offaxis/l0.1,0.0937,2.6827,0.0937,13
352,within,100,65,100,11065,0.2,within/offaxis/l0.2,0.103,2.6778,0.103,12
353,within,100,65,100,11065,0.4,within/offaxis/l0.4,0.118,2.6552,0.118,10
354,within,100,65,100,11065,1.0,within/offaxis/l1,0.0732,1.6219,0.0732,18
355,within,100,65,100,15065,0.05,within/offaxis/l0.05,0.0833,2.713,0.0833,18
356,within,100,65,100,15065,0.1,within/offaxis/l0.1,0.0946,2.6716,0.0946,14
357,within,100,65,100,15065,0.2,within/offaxis/l0.2,0.1042,2.666,0.1042,12
358,within,100,65,100,15065,0.4,within/offaxis/l0.4,0.1186,2.6548,0.1186,10
359,within,100,65,100,15065,1.0,within/offaxis/l1,0.0738,1.6131,0.0738,18
360,within,100,65,100,10065,0.05,within/offaxis/l0.05,0.0851,2.7058,0.0851,18
361,within,100,65,100,10065,0.1,within/offaxis/l0.1,0.0907,2.6992,0.0907,15
362,within,100,65,100,10065,0.2,within/offaxis/l0.2,0.1032,2.6716,0.1032,12
363,within,100,65,100,10065,0.4,within/offaxis/l0.4,0.1169,2.6624,0.1169,10
364,within,100,65,100,10065,1.0,within/offaxis/l1,0.072,1.6296,0.072,18
365,within,100,65,100,6065,0.05,within/offaxis/l0.05,0.0854,2.6987,0.0854,17
366,within,100,65,100,6065,0.1,within/offaxis/l0.1,0.0972,2.6652,0.0972,14
367,within,100,65,100,6065,0.2,within/offaxis/l0.2,0.1037,2.6695,0.1037,12
368,within,100,65,100,6065,0.4,within/offaxis/l0.4,0.1188,2.6532,0.1188,10
369,within,100,65,100,6065,1.0,within/offaxis/l1,0.0755,1.605,0.0755,18
370,within,100,65,100,13065,0.05,within/offaxis/l0.05,0.0838,2.7175,0.0838,18
371,within,100,65,100,13065,0.1,within/offaxis/l0.1,0.0927,2.681,0.0927,14
372,within,100,65,100,13065,0.2,within/offaxis/l0.2,0.1031,2.6789,0.1031,12
373,within,100,65,100,13065,0.4,within/offaxis/l0.4,0.1183,2.6591,0.1183,10
374,within,100,65,100,13065,1.0,within/offaxis/l1,0.0742,1.6131,0.0742,18
375,cross,16,1065,178,65,0.05,cross/aligned/l0.05,1.0,2.2183,1.0,0
376,cross,16,1065,178,65,0.1,cross/aligned/l0.1,0.9326,1.5899,0.881,0
377,cross,16,1065,178,65,0.2,cross/aligned/l0.2,0.8691,1.0906,0.8503,0
378,cross,16,1065,178,65,0.4,cross/aligned/l0.4,0.8466,1.0099,0.8415,0
379,cross,16,1065,178,65,1.0,cross/aligned/l1,0.8379,1.0005,0.8358,0
380,cross,33,2065,53,2065,0.05,cross/aligned/l0.05,0.6801,1.8446,0.6699,0
381,cross,33,2065,53,2065,0.1,cross/aligned/l0.1,0.6786,1.8438,0.6662,0
382,cross,33,2065,53,2065,0.2,cross/aligned/l0.2,0.6833,1.8399,0.6614,0
383,cross,33,2065,53,2065,0.4,cross/aligned/l0.4,0.6861,1.8331,0.6638,0
384,cross,33,2065,53,2065,1.0,cross/aligned/l1,0.6546,1.8945,0.6478,0
385,cross,100,17065,16,1065,0.05,cross/aligned/l0.05,1.0,2.0785,1.0,0
386,cross,100,17065,16,1065,0.1,cross/aligned/l0.1,1.0,2.0203,0.7665,0
387,cross,100,17065,16,1065,0.2,cross/aligned/l0.2,0.891,1.3393,0.4117,0
388,cross,100,17065,16,1065,0.4,cross/aligned/l0.4,0.9011,1.1304,0.4918,1
389,cross,100,17065,16,1065,1.0,cross/aligned/l1,0.5695,1.0474,0.3592,9
390,cross,33,2065,11,3065,0.05,cross/aligned/l0.05,0.6799,1.8449,0.6542,0
391,cross,33,2065,11,3065,0.1,cross/aligned/l0.1,0.6809,1.8442,0.6478,0
392,cross,33,2065,11,3065,0.2,cross/aligned/l0.2,0.681,1.8408,0.6376,0
393,cross,33,2065,11,3065,0.4,cross/aligned/l0.4,0.6857,1.8325,0.6477,0
394,cross,33,2065,11,3065,1.0,cross/aligned/l1,0.6472,1.9024,0.6406,0
395,cross,31,7065,3,2065,0.05,cross/aligned/l0.05,1.0,1.8605,1.0,0
396,cross,31,7065,3,2065,0.1,cross/aligned/l0.1,1.0,1.8652,1.0,0
397,cross,31,7065,3,2065,0.2,cross/aligned/l0.2,1.0,1.8982,1.0,0
398,cross,31,7065,3,2065,0.4,cross/aligned/l0.4,1.0,1.9138,1.0,0
399,cross,31,7065,3,2065,1.0,cross/aligned/l1,1.0,1.3264,0.8676,0
400,cross,178,2065,100,7065,0.05,cross/aligned/l0.05,1.0,1.8465,1.0,0
401,cross,178,2065,100,7065,0.1,cross/aligned/l0.1,1.0,1.8549,1.0,0
402,cross,178,2065,100,7065,0.2,cross/aligned/l0.2,1.0,1.8644,1.0,0
403,cross,178,2065,100,7065,0.4,cross/aligned/l0.4,1.0,1.8657,1.0,0
404,cross,178,2065,100,7065,1.0,cross/aligned/l1,0.9028,1.7827,0.7018,0
405,cross,56,65,178,1065,0.05,cross/aligned/l0.05,0.8016,1.457,0.8016,0
406,cross,56,65,178,1065,0.1,cross/aligned/l0.1,0.736,1.084,0.736,0
407,cross,56,65,178,1065,0.2,cross/aligned/l0.2,0.7501,1.0147,0.7501,0
408,cross,56,65,178,1065,0.4,cross/aligned/l0.4,0.7605,1.0024,0.7605,0
409,cross,56,65,178,1065,1.0,cross/aligned/l1,0.7675,1.0003,0.7675,0
410,cross,33,4065,3,3065,0.05,cross/aligned/l0.05,1.0,1.9875,1.0,0
411,cross,33,4065,3,3065,0.1,cross/aligned/l0.1,1.0,1.9774,1.0,0
412,cross,33,4065,3,3065,0.2,cross/aligned/l0.2,1.0,1.9594,1.0,0
413,cross,33,4065,3,3065,0.4,cross/aligned/l0.4,1.0,1.9466,1.0,0
414,cross,33,4065,3,3065,1.0,cross/aligned/l1,1.0,2.0255,1.0,0
415,cross,96,42065,11,2065,0.05,cross/aligned/l0.05,1.0,1.2574,0.5379,1
416,cross,96,42065,11,2065,0.1,cross/aligned/l0.1,0.9641,1.0303,0.796,0
417,cross,96,42065,11,2065,0.2,cross/aligned/l0.2,0.9409,1.0078,0.888,0
418,cross,96,42065,11,2065,0.4,cross/aligned/l0.4,0.9311,1.0012,0.9238,0
419,cross,96,42065,11,2065,1.0,cross/aligned/l1,0.9246,1.0,0.9245,0
420,cross,56,65,14,65,0.05,cross/aligned/l0.05,0.7994,1.5341,0.7994,0
421,cross,56,65,14,65,0.1,cross/aligned/l0.1,0.7283,1.1159,0.7233,0
422,cross,56,65,14,65,0.2,cross/aligned/l0.2,0.741,1.0184,0.7404,0
423,cross,56,65,14,65,0.4,cross/aligned/l0.4,0.7544,1.0028,0.7544,0
424,cross,56,65,14,65,1.0,cross/aligned/l1,0.7684,1.0003,0.7684,0
425,cross,100,14065,53,2065,0.05,cross/aligned/l0.05,0.9353,2.2522,0.9287,0
426,cross,100,14065,53,2065,0.1,cross/aligned/l0.1,0.8272,1.88,0.8272,0
427,cross,100,14065,53,2065,0.2,cross/aligned/l0.2,0.5233,1.4598,0.5233,0
428,cross,100,14065,53,2065,0.4,cross/aligned/l0.4,0.724,1.1767,0.4701,0
429,cross,100,14065,53,2065,1.0,cross/aligned/l1,0.5522,1.0449,0.5378,0
430,cross,96,46065,3,2065,0.05,cross/aligned/l0.05,0.9401,1.174,0.8546,0
431,cross,96,46065,3,2065,0.1,cross/aligned/l0.1,0.9498,1.0418,0.9307,0
432,cross,96,46065,3,2065,0.2,cross/aligned/l0.2,0.9512,1.0089,0.9476,0
433,cross,96,46065,3,2065,0.4,cross/aligned/l0.4,0.951,1.0013,0.9503,0
434,cross,96,46065,3,2065,1.0,cross/aligned/l1,0.9515,1.0001,0.9514,0
435,cross,3,1065,100,13065,0.05,cross/aligned/l0.05,0.9,1.0,0.8365,0
436,cross,3,1065,100,13065,0.1,cross/aligned/l0.1,0.8891,1.0,0.8829,0
437,cross,3,1065,100,13065,0.2,cross/aligned/l0.2,0.8812,1.0,0.8812,0
438,cross,3,1065,100,13065,0.4,cross/aligned/l0.4,0.8822,1.0,0.8822,0
439,cross,3,1065,100,13065,1.0,cross/aligned/l1,0.7195,1.0,0.7195,0
440,cross,96,45065,56,1065,0.05,cross/aligned/l0.05,1.0,1.3557,1.0,0
441,cross,96,45065,56,1065,0.1,cross/aligned/l0.1,1.0,1.364,1.0,0
442,cross,96,45065,56,1065,0.2,cross/aligned/l0.2,1.0,1.4129,1.0,0
443,cross,96,45065,56,1065,0.4,cross/aligned/l0.4,1.0,1.6954,1.0,4
444,cross,96,45065,56,1065,1.0,cross/aligned/l1,1.0,2.1376,0.2726,11
445,cross,33,65,53,65,0.05,cross/aligned/l0.05,1.1109,1.3586,1.1109,0
446,cross,33,65,53,65,0.1,cross/aligned/l0.1,1.1112,1.3568,1.1112,0
447,cross,33,65,53,65,0.2,cross/aligned/l0.2,1.1181,1.3505,1.1181,0
448,cross,33,65,53,65,0.4,cross/aligned/l0.4,1.1394,1.3372,1.1328,0
449,cross,33,65,53,65,1.0,cross/aligned/l1,0.9652,1.493,0.9639,0
450,cross,53,2065,77,3065,0.05,cross/aligned/l0.05,1.0,2.3546,1.0,0
451,cross,53,2065,77,3065,0.1,cross/aligned/l0.1,1.0,2.3577,1.0,0
452,cross,53,2065,77,3065,0.2,cross/aligned/l0.2,1.0,2.3466,1.0,0
453,cross,53,2065,77,3065,0.4,cross/aligned/l0.4,1.0,2.2484,1.0,0
454,cross,53,2065,77,3065,1.0,cross/aligned/l1,1.0124,1.1353,0.6853,7
455,cross,178,2065,33,1065,0.05,cross/aligned/l0.05,1.0,1.8548,1.0,0
456,cross,178,2065,33,1065,0.1,cross/aligned/l0.1,1.0,1.8747,1.0,0
457,cross,178,2065,33,1065,0.2,cross/aligned/l0.2,1.0,1.8774,1.0,0
458,cross,178,2065,33,1065,0.4,cross/aligned/l0.4,1.0,1.8688,1.0,0
459,cross,178,2065,33,1065,1.0,cross/aligned/l1,1.0,1.8746,1.0,0
460,cross,31,7065,53,65,0.05,cross/aligned/l0.05,1.0,1.8868,1.0,0
461,cross,31,7065,53,65,0.1,cross/aligned/l0.1,1.0,1.9167,1.0,0
462,cross,31,7065,53,65,0.2,cross/aligned/l0.2,1.0,1.8491,1.0,0
463,cross,31,7065,53,65,0.4,cross/aligned/l0.4,1.0,1.7674,1.0,0
464,cross,31,7065,53,65,1.0,cross/aligned/l1,1.0,1.2849,1.0,0
465,cross,77,6065,14,1065,0.05,cross/aligned/l0.05,1.0,2.2886,1.0,0
466,cross,77,6065,14,1065,0.1,cross/aligned/l0.1,1.0,2.27,1.0,0
467,cross,77,6065,14,1065,0.2,cross/aligned/l0.2,1.0,2.1131,1.0,0
468,cross,77,6065,14,1065,0.4,cross/aligned/l0.4,1.0,1.7698,1.0,0
469,cross,77,6065,14,1065,1.0,cross/aligned/l1,1.0,1.3583,0.8658,0
470,cross,56,65,33,2065,0.05,cross/aligned/l0.05,0.7109,1.3349,0.7109,0
471,cross,56,65,33,2065,0.1,cross/aligned/l0.1,0.7324,1.0763,0.7324,0
472,cross,56,65,33,2065,0.2,cross/aligned/l0.2,0.7441,1.0129,0.7441,0
473,cross,56,65,33,2065,0.4,cross/aligned/l0.4,0.7567,1.0021,0.7567,0
474,cross,56,65,33,2065,1.0,cross/aligned/l1,0.7694,1.0003,0.7693,0
475,cross,53,2065,96,49065,0.05,cross/aligned/l0.05,1.0,2.3219,1.0,0
476,cross,53,2065,96,49065,0.1,cross/aligned/l0.1,1.0,2.2331,1.0,0
477,cross,53,2065,96,49065,0.2,cross/aligned/l0.2,1.0,2.0391,1.0,0
478,cross,53,2065,96,49065,0.4,cross/aligned/l0.4,1.0,1.4876,1.0,0
479,cross,53,2065,96,49065,1.0,cross/aligned/l1,0.5889,1.1132,0.3739,1
480,cross,100,12065,77,6065,0.05,cross/aligned/l0.05,0.7838,1.5936,0.41,0
481,cross,100,12065,77,6065,0.1,cross/aligned/l0.1,0.6523,1.452,0.4591,0
482,cross,100,12065,77,6065,0.2,cross/aligned/l0.2,0.6786,1.313,0.4778,0
483,cross,100,12065,77,6065,0.4,cross/aligned/l0.4,0.6633,1.1584,0.5943,0
484,cross,100,12065,77,6065,1.0,cross/aligned/l1,0.7241,1.0181,0.4694,0
485,cross,31,8065,14,1065,0.05,cross/aligned/l0.05,1.0,2.2297,1.0,0
486,cross,31,8065,14,1065,0.1,cross/aligned/l0.1,1.0,2.1996,1.0,0
487,cross,31,8065,14,1065,0.2,cross/aligned/l0.2,1.0,2.1296,1.0,0
488,cross,31,8065,14,1065,0.4,cross/aligned/l0.4,1.0,1.8953,1.0,0
489,cross,31,8065,14,1065,1.0,cross/aligned/l1,0.7604,1.364,0.6132,0
490,cross,178,5065,77,3065,0.05,cross/aligned/l0.05,0.9191,2.1096,0.9191,0
491,cross,178,5065,77,3065,0.1,cross/aligned/l0.1,0.8946,2.1308,0.8946,0
492,cross,178,5065,77,3065,0.2,cross/aligned/l0.2,0.8905,2.1038,0.8905,0
493,cross,178,5065,77,3065,0.4,cross/aligned/l0.4,0.8677,2.1293,0.8677,0
494,cross,178,5065,77,3065,1.0,cross/aligned/l1,0.5801,2.1959,0.5801,0
495,cross,33,65,178,3065,0.05,cross/aligned/l0.05,1.1198,1.356,1.1198,0
496,cross,33,65,178,3065,0.1,cross/aligned/l0.1,1.1172,1.3524,1.1172,0
497,cross,33,65,178,3065,0.2,cross/aligned/l0.2,1.1339,1.3425,1.1339,0
498,cross,33,65,178,3065,0.4,cross/aligned/l0.4,1.1384,1.3374,1.1384,0
499,cross,33,65,178,3065,1.0,cross/aligned/l1,0.9821,1.4923,0.9821,0
500,cross,100,19065,14,65,0.05,cross/aligned/l0.05,0.6777,1.2038,0.6201,0
501,cross,100,19065,14,65,0.1,cross/aligned/l0.1,0.6319,1.0428,0.6184,0
502,cross,100,19065,14,65,0.2,cross/aligned/l0.2,0.6093,1.0109,0.6046,0
503,cross,100,19065,14,65,0.4,cross/aligned/l0.4,0.6019,1.0045,0.5993,0
504,cross,100,19065,14,65,1.0,cross/aligned/l1,0.6501,1.0026,0.6324,0
505,cross,178,5065,16,1065,0.05,cross/aligned/l0.05,0.9355,2.0922,0.9355,0
506,cross,178,5065,16,1065,0.1,cross/aligned/l0.1,0.9123,2.1409,0.9123,0
507,cross,178,5065,16,1065,0.2,cross/aligned/l0.2,0.8903,2.1583,0.8876,0
508,cross,178,5065,16,1065,0.4,cross/aligned/l0.4,0.8535,2.1494,0.8202,0
509,cross,178,5065,16,1065,1.0,cross/aligned/l1,0.6335,2.0893,0.6332,0
510,cross,178,5065,100,65,0.05,cross/aligned/l0.05,0.9305,2.0865,0.9305,0
511,cross,178,5065,100,65,0.1,cross/aligned/l0.1,0.9354,2.0642,0.9354,0
512,cross,178,5065,100,65,0.2,cross/aligned/l0.2,0.9381,2.0385,0.9381,0
513,cross,178,5065,100,65,0.4,cross/aligned/l0.4,0.9325,2.0421,0.9325,0
514,cross,178,5065,100,65,1.0,cross/aligned/l1,0.5903,2.1792,0.5903,0
515,cross,33,2065,11,65,0.05,cross/aligned/l0.05,0.68,1.8451,0.6652,0
516,cross,33,2065,11,65,0.1,cross/aligned/l0.1,0.6808,1.8451,0.6345,0
517,cross,33,2065,11,65,0.2,cross/aligned/l0.2,0.6825,1.843,0.6438,0
518,cross,33,2065,11,65,0.4,cross/aligned/l0.4,0.6853,1.8357,0.6707,0
519,cross,33,2065,11,65,1.0,cross/aligned/l1,0.645,1.9046,0.6438,0
520,cross,33,1065,3,2065,0.05,cross/aligned/l0.05,1.0,1.6315,1.0,0
521,cross,33,1065,3,2065,0.1,cross/aligned/l0.1,1.0,1.6055,1.0,0
522,cross,33,1065,3,2065,0.2,cross/aligned/l0.2,1.0,1.5848,1.0,0
523,cross,33,1065,3,2065,0.4,cross/aligned/l0.4,1.0,1.5828,1.0,0
524,cross,33,1065,3,2065,1.0,cross/aligned/l1,1.0,2.1139,0.6907,0
525,cross,178,2065,96,30065,0.05,cross/aligned/l0.05,1.0,1.8377,1.0,0
526,cross,178,2065,96,30065,0.1,cross/aligned/l0.1,1.0,1.8218,1.0,0
527,cross,178,2065,96,30065,0.2,cross/aligned/l0.2,1.0,1.806,1.0,0
528,cross,178,2065,96,30065,0.4,cross/aligned/l0.4,1.0,1.8664,1.0,0
529,cross,178,2065,96,30065,1.0,cross/aligned/l1,0.8016,2.2794,0.6132,0
530,cross,100,9065,16,65,0.05,cross/aligned/l0.05,0.881,1.0287,0.8665,0
531,cross,100,9065,16,65,0.1,cross/aligned/l0.1,0.8682,1.0063,0.8555,0
532,cross,100,9065,16,65,0.2,cross/aligned/l0.2,0.8657,1.0014,0.8597,0
533,cross,100,9065,16,65,0.4,cross/aligned/l0.4,0.8658,1.0005,0.8618,0
534,cross,100,9065,16,65,1.0,cross/aligned/l1,0.8978,1.0003,0.8872,0
535,cross,96,53065,56,1065,0.05,cross/aligned/l0.05,0.8671,1.0046,0.8581,0
536,cross,96,53065,56,1065,0.1,cross/aligned/l0.1,0.9507,1.0011,0.9461,0
537,cross,96,53065,56,1065,0.2,cross/aligned/l0.2,0.9657,1.0002,0.9636,0
538,cross,96,53065,56,1065,0.4,cross/aligned/l0.4,0.9617,1.0,0.9604,0
539,cross,96,53065,56,1065,1.0,cross/aligned/l1,0.9608,1.0,0.9604,0
540,cross,100,1065,3,2065,0.05,cross/aligned/l0.05,0.9665,1.5416,0.7923,0
541,cross,100,1065,3,2065,0.1,cross/aligned/l0.1,0.8985,1.3061,0.8099,0
542,cross,100,1065,3,2065,0.2,cross/aligned/l0.2,0.8779,1.0885,0.8224,0
543,cross,100,1065,3,2065,0.4,cross/aligned/l0.4,0.8799,1.0365,0.8455,0
544,cross,100,1065,3,2065,1.0,cross/aligned/l1,0.8351,1.027,0.8351,0
545,cross,53,2065,16,2065,0.05,cross/aligned/l0.05,1.0,2.3161,1.0,0
546,cross,53,2065,16,2065,0.1,cross/aligned/l0.1,1.0,2.2714,1.0,0
547,cross,53,2065,16,2065,0.2,cross/aligned/l0.2,1.0,2.109,1.0,0
548,cross,53,2065,16,2065,0.4,cross/aligned/l0.4,1.0,1.6209,1.0,0
549,cross,53,2065,16,2065,1.0,cross/aligned/l1,0.8197,1.1341,0.7031,0
550,cross,16,65,77,1065,0.05,cross/aligned/l0.05,1.0,2.2572,1.0,0
551,cross,16,65,77,1065,0.1,cross/aligned/l0.1,1.0,2.42,1.0,0
552,cross,16,65,77,1065,0.2,cross/aligned/l0.2,1.0344,1.9552,1.0344,0
553,cross,16,65,77,1065,0.4,cross/aligned/l0.4,1.0009,1.1096,0.9985,0
554,cross,16,65,77,1065,1.0,cross/aligned/l1,0.988,1.001,0.9876,0
555,cross,100,14065,3,65,0.05,cross/aligned/l0.05,1.0,1.9754,1.0,0
556,cross,100,14065,3,65,0.1,cross/aligned/l0.1,1.0,2.03,1.0,0
557,cross,100,14065,3,65,0.2,cross/aligned/l0.2,0.9181,1.4674,0.915,0
558,cross,100,14065,3,65,0.4,cross/aligned/l0.4,0.8877,1.1701,0.8818,0
559,cross,100,14065,3,65,1.0,cross/aligned/l1,0.614,1.0618,0.614,0
560,cross,96,39065,56,1065,0.05,cross/aligned/l0.05,1.0,1.1595,1.0,0
561,cross,96,39065,56,1065,0.1,cross/aligned/l0.1,1.0,1.1695,1.0,0
562,cross,96,39065,56,1065,0.2,cross/aligned/l0.2,1.0,1.2571,1.0,0
563,cross,96,39065,56,1065,0.4,cross/aligned/l0.4,1.0,1.664,1.0,0
564,cross,96,39065,56,1065,1.0,cross/aligned/l1,1.1228,1.8016,0.6057,7
565,cross,53,2065,56,65,0.05,cross/aligned/l0.05,1.0,2.3123,1.0,0
566,cross,53,2065,56,65,0.1,cross/aligned/l0.1,1.0,2.2498,1.0,0
567,cross,53,2065,56,65,0.2,cross/aligned/l0.2,1.0,2.0437,1.0,0
568,cross,53,2065,56,65,0.4,cross/aligned/l0.4,1.0,1.4861,1.0,0
569,cross,53,2065,56,65,1.0,cross/aligned/l1,0.9991,1.1303,0.3017,10
570,cross,11,3065,96,10065,0.05,cross/aligned/l0.05,1.0,2.1932,1.0,0
571,cross,11,3065,96,10065,0.1,cross/aligned/l0.1,1.0,2.2443,1.0,0
572,cross,11,3065,96,10065,0.2,cross/aligned/l0.2,1.0,1.3051,1.0,0
573,cross,11,3065,96,10065,0.4,cross/aligned/l0.4,1.0702,1.0549,1.0702,0
574,cross,11,3065,96,10065,1.0,cross/aligned/l1,0.9097,1.0151,0.5307,0
575,cross,53,1065,100,65,0.05,cross/aligned/l0.05,1.0,1.373,1.0,0
576,cross,53,1065,100,65,0.1,cross/aligned/l0.1,1.0,1.3781,1.0,0
577,cross,53,1065,100,65,0.2,cross/aligned/l0.2,1.0,1.3679,1.0,0
578,cross,53,1065,100,65,0.4,cross/aligned/l0.4,1.0,1.4508,0.8565,0
579,cross,53,1065,100,65,1.0,cross/aligned/l1,0.6351,1.677,0.2853,3
580,cross,77,6065,14,65,0.05,cross/aligned/l0.05,1.0,2.2881,1.0,0
581,cross,77,6065,14,65,0.1,cross/aligned/l0.1,1.0,2.2411,1.0,0
582,cross,77,6065,14,65,0.2,cross/aligned/l0.2,1.0,2.0302,1.0,0
583,cross,77,6065,14,65,0.4,cross/aligned/l0.4,1.0,1.6967,1.0,0
584,cross,77,6065,14,65,1.0,cross/aligned/l1,1.0,1.3758,0.8032,0
585,cross,56,2065,77,5065,0.05,cross/aligned/l0.05,0.7978,1.0047,0.7978,0
586,cross,56,2065,77,5065,0.1,cross/aligned/l0.1,0.7979,1.0047,0.7979,0
587,cross,56,2065,77,5065,0.2,cross/aligned/l0.2,0.798,1.0047,0.798,0
588,cross,56,2065,77,5065,0.4,cross/aligned/l0.4,0.7983,1.0039,0.7983,0
589,cross,56,2065,77,5065,1.0,cross/aligned/l1,0.7971,1.0008,0.7971,0
590,cross,178,4065,96,51065,0.05,cross/aligned/l0.05,1.0,1.6464,1.0,0
591,cross,178,4065,96,51065,0.1,cross/aligned/l0.1,1.0,1.6844,1.0,0
592,cross,178,4065,96,51065,0.2,cross/aligned/l0.2,1.0,1.73,1.0,0
593,cross,178,4065,96,51065,0.4,cross/aligned/l0.4,1.0,1.7969,1.0,0
594,cross,178,4065,96,51065,1.0,cross/aligned/l1,0.7377,1.5668,0.7377,0
