block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
2,7300,dci_gated,3,MixBase,0,0.835234,1.0,0.50377,1.0,0.693974,0.813659,0,1.7035,cheap,1.0,0,1.765,cheap,1,20,20,4492.281,5045.449,3.964,1.0
2,7300,dci_gated,4,MixBase,0,0.84535,1.0,0.541197,1.0,0.807179,0.840654,0,1.7024,cheap,1.0,0,1.7808,cheap,1,20,20,3337.598,3980.565,5.0244,1.0
2,7300,dci_gated,5,MixShift1,1,0.548841,1.0,0.259148,0.440092,0.832564,0.601943,1,1.0959,cheap,1.135,0,1.6655,cheap,1,20,20,3380.407,4017.146,4.9787,1.0
2,7300,dci_gated,6,MixShift1,0,0.767036,1.0,0.377579,0.729167,0.817308,0.735704,1,1.0952,cheap,1.008,0,3.0697,cheap,1,20,20,5681.846,6260.589,3.1946,1.0
2,7300,dci_gated,7,MixShift1,0,0.731145,1.0,0.435188,0.729167,0.677308,0.717253,1,1.0819,cheap,1.0255,0,2.7494,cheap,1,20,20,4594.941,5179.368,3.8615,1.0
2,7300,dci_gated,8,MixShift1,0,0.876035,1.0,0.680038,1.0,0.845256,0.881805,0,1.0829,cheap,1.0568,0,2.8739,cheap,1,20,20,3603.395,4154.543,4.814,1.0
2,7300,dci_gated,9,MixSurge1,1,0.89838,0.625,0.601706,1.0,0.814231,0.792071,1,1.0023,cheap,0.9994,0,1.6929,cheap,1,32,32,7841.636,8976.093,3.565,1.0
2,7300,dci_gated,10,MixSurge1,0,0.930096,1.0,0.846388,1.0,0.765506,0.916627,0,1.0023,cheap,0.9994,0,2.9897,cheap,1,32,32,7991.684,8904.011,3.5939,1.0
2,7300,dci_gated,11,MixSurge1,0,0.864139,1.0,0.699871,1.0,0.852173,0.883835,0,1.0023,cheap,0.9994,0,1.8783,cheap,1,32,32,6672.391,7786.957,4.1094,1.0
2,7300,dci_gated,12,MixSurge1,0,0.864139,1.0,0.705195,1.0,0.739433,0.867989,0,1.0023,cheap,0.9994,0,1.6936,cheap,1,32,32,7836.926,8813.503,3.6308,1.0
2,7300,dci_gated,13,MixShift2,1,0.602539,1.0,0.393194,0.807882,0.726694,0.699854,1,1.0028,cheap,0.9991,0,2.5795,cheap,1,32,32,12318.038,13387.081,2.3904,1.0
2,7300,dci_gated,14,MixShift2,0,0.963547,1.0,0.836225,1.0,0.814332,0.930282,0,1.0028,cheap,0.9991,0,2.7275,cheap,1,32,32,12471.156,13307.944,2.4046,1.0
2,7300,dci_gated,15,MixShift2,0,0.913002,1.0,0.702786,1.0,0.721916,0.877095,0,1.0029,cheap,0.9992,0,1.6242,cheap,1,32,32,11334.139,11967.836,2.6738,1.0
2,7300,dci_gated,16,MixShift2,0,0.923898,1.0,0.706301,1.0,0.828934,0.896575,0,1.0029,cheap,0.9992,0,1.6827,cheap,1,32,32,12590.35,13526.269,2.3658,1.0
2,7300,dci_gated,17,MixCalm,1,0.845892,0.625,0.728762,0.981481,0.842436,0.804887,1,1.0015,cheap,0.9996,0,1.7673,cheap,1,20,20,5931.642,6703.026,2.9837,1.0
2,7300,dci_gated,18,MixCalm,0,0.810427,1.0,0.682317,0.981481,0.757308,0.848963,0,1.0015,cheap,0.9996,0,3.1837,cheap,1,20,20,11123.69,11655.554,1.7159,1.0
2,7300,dci_gated,19,MixCalm,0,0.854059,1.0,0.58446,1.0,0.720769,0.838522,0,1.0015,cheap,0.9996,0,1.8266,cheap,1,20,20,11306.777,12016.883,1.6643,1.0
2,7300,dci_gated,20,MixCalm,0,0.89028,1.0,0.683016,1.0,0.768974,0.874519,0,1.0015,cheap,0.9996,0,1.7213,cheap,1,20,20,7685.734,8367.218,2.3903,1.0
2,7300,dci_gated,21,MixShift3,1,0.561272,1.0,0.256409,0.811905,0.781026,0.671135,1,1.0018,cheap,0.9994,0,1.6691,cheap,1,20,20,6339.676,6974.024,2.8678,1.0
2,7300,dci_gated,22,MixShift3,0,0.849829,1.0,0.689487,0.839744,0.744103,0.829919,0,1.0018,cheap,0.9994,0,2.8953,cheap,1,20,20,6387.009,7112.081,2.8121,1.0
2,7300,dci_gated,23,MixShift3,0,0.940591,1.0,0.753316,1.0,0.776795,0.90233,0,1.0018,cheap,0.9994,0,1.743,cheap,1,20,20,10357.168,10931.228,1.8296,1.0
2,7300,dci_gated,24,MixShift3,0,0.731603,1.0,0.499399,0.839744,0.760385,0.764787,0,1.0019,cheap,0.9994,0,1.6493,cheap,1,20,20,9409.1,10111.943,1.9779,1.0
3,7400,dci_gated,1,MixBase,0,0.859176,1.0,0.639001,1.0,0.653718,0.840652,0,1.0,cheap,1.0,0,2.9288,cheap,1,20,20,4755.235,5315.18,3.7628,1.0
3,7400,dci_gated,2,MixBase,0,0.897713,1.0,0.662409,1.0,0.812692,0.878814,0,1.4213,cheap,1.0,0,1.9992,cheap,1,20,20,5546.3,6094.782,3.2815,1.0
3,7400,dci_gated,3,MixBase,0,0.920554,1.0,0.726516,1.0,0.787564,0.893576,0,1.4468,cheap,1.0,0,1.6827,cheap,1,20,20,5349.648,5954.999,3.3585,1.0
3,7400,dci_gated,4,MixBase,0,0.871175,1.0,0.518735,1.0,0.732436,0.831406,0,2.0734,cheap,1.0,0,1.543,cheap,1,20,20,4094.98,4534.71,4.4104,1.0
3,7400,dci_gated,5,MixShift1,1,0.57451,1.0,0.241191,0.440092,0.663077,0.579346,1,1.0391,cheap,1.1218,0,1.6743,cheap,1,20,20,3914.488,4520.366,4.4244,1.0
3,7400,dci_gated,6,MixShift1,0,0.741206,1.0,0.518322,0.9375,0.685385,0.779274,0,1.0995,cheap,0.9631,0,2.6778,cheap,1,20,20,5601.347,6180.487,3.236,1.0
3,7400,dci_gated,7,MixShift1,0,0.861371,1.0,0.716822,0.9375,0.795769,0.865573,0,1.1041,cheap,0.9998,0,1.781,cheap,1,20,20,5059.097,5591.538,3.5768,1.0
3,7400,dci_gated,8,MixShift1,0,0.905484,1.0,0.724829,1.0,0.792564,0.890221,0,1.1039,cheap,1.0494,0,1.6302,cheap,1,20,20,5084.611,5643.421,3.5439,1.0
3,7400,dci_gated,9,MixSurge1,1,0.933376,0.625,0.827763,1.0,0.791026,0.84255,1,1.0016,cheap,0.9995,0,1.8305,cheap,1,32,32,7937.98,8833.165,3.6227,1.0
3,7400,dci_gated,10,MixSurge1,0,0.944342,1.0,0.855901,1.0,0.740729,0.918375,0,1.0017,cheap,0.9995,0,2.9788,cheap,1,32,32,8652.692,9596.287,3.3346,1.0
3,7400,dci_gated,11,MixSurge1,0,0.918402,1.0,0.724223,1.0,0.69749,0.879069,0,1.0017,cheap,0.9996,0,1.634,cheap,1,32,32,6584.842,7630.378,4.1938,1.0
3,7400,dci_gated,12,MixSurge1,0,0.874892,1.0,0.632291,1.0,0.636356,0.840635,0,1.0017,cheap,0.9996,0,1.7665,cheap,1,32,32,8150.528,9053.359,3.5346,1.0
3,7400,dci_gated,13,MixShift2,1,0.591609,1.0,0.313329,0.807882,0.710823,0.678768,1,1.0023,cheap,0.9994,0,2.4776,cheap,1,32,32,15627.331,16791.734,1.9057,1.0
3,7400,dci_gated,14,MixShift2,0,0.890157,1.0,0.653161,1.0,0.765992,0.86807,0,1.0023,cheap,0.9994,0,3.0953,cheap,1,32,32,11788.194,12715.111,2.5167,1.0
3,7400,dci_gated,15,MixShift2,0,0.841626,1.0,0.712819,0.981481,0.765155,0.86404,0,1.0023,cheap,0.9994,0,1.7996,cheap,1,32,32,9150.886,10116.99,3.163,1.0
3,7400,dci_gated,16,MixShift2,0,0.861371,1.0,0.80361,0.981481,0.780648,0.889458,0,1.0023,cheap,0.9993,0,1.864,cheap,1,32,32,10704.4,11897.89,2.6896,1.0
3,7400,dci_gated,17,MixCalm,1,0.913002,0.625,0.798957,1.0,0.805897,0.833927,1,1.0011,cheap,0.9997,0,1.7544,cheap,1,20,20,6709.665,7097.928,2.8177,1.0
3,7400,dci_gated,18,MixCalm,0,0.952814,1.0,0.678508,1.0,0.666923,0.873943,0,1.0012,cheap,0.9997,0,2.781,cheap,1,20,20,8150.834,8744.27,2.2872,1.0
3,7400,dci_gated,19,MixCalm,0,0.880073,1.0,0.549739,1.0,0.908846,0.866293,0,1.0012,cheap,0.9997,0,1.7703,cheap,1,20,20,6629.035,7304.9,2.7379,1.0
3,7400,dci_gated,20,MixCalm,0,0.905792,1.0,0.727837,1.0,0.677179,0.873592,0,1.0012,cheap,0.9997,0,1.6855,cheap,1,20,20,6381.404,7029.552,2.8451,1.0
3,7400,dci_gated,21,MixShift3,1,0.613338,1.0,0.367307,0.811905,0.812564,0.711061,1,1.0014,cheap,0.9996,0,1.7636,cheap,1,20,20,9483.671,10131.346,1.9741,1.0
