block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.7955128205128206,0.8394851314996369,0,,5-D,20,20,0,423.776,424.014,47.1683
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,,5-D,20,20,0,379.16,379.506,52.7001
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.765897435897436,0.807866754469132,0,1.6201,5-D,20,20,0,556.246,556.512,35.9382
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7703846153846154,0.8091182663123437,0,1.6821,5-D,20,20,0,312.833,313.205,63.8559
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.7885897435897437,0.45674799412539946,1,1.1397,1-D,20,20,0,7009.771,7010.428,2.8529
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6837179487179488,0.6510171277921352,1,1.1511,1-D,20,20,0,3769.744,3770.179,5.3048
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7719230769230769,0.7728836005966802,0,1.1496,1-D,20,20,0,2044.081,2044.528,9.7822
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7111538461538461,0.704990753273743,1,1.2301,1-D,20,20,0,1840.911,1841.385,10.8614
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8725641025641027,0.6571027681291519,1,1.7641,5-D,48,48,0,5429.623,5430.536,8.8389
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8270878721859114,0.8805851632892633,0,1.762,5-D,48,48,0,3697.466,3698.475,12.9783
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6793028322440088,0.8101361591025179,0,1.7732,5-D,48,48,0,2769.221,2770.127,17.3277
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.696078431372549,0.8567442377369885,0,1.7708,5-D,48,48,0,3143.583,3144.452,15.265
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6922657952069717,0.5643483272983643,1,1.7415,5-D,48,48,0,20963.28,20964.05,2.2896
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.7832244008714597,0.9340671554942974,0,1.7131,5-D,48,48,0,1396.646,1397.18,34.3549
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7229121278140886,0.8468932166001019,0,1.7141,5-D,48,48,0,806.702,807.233,59.4624
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7220406681190996,0.8035773672645719,0,1.76,5-D,48,48,0,1269.999,1270.566,37.7784
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.7174358974358975,0.756701577812656,1,2.1027,5-D,20,20,0,800.945,801.194,24.9628
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7975641025641025,0.8118225184042235,0,2.141,5-D,20,20,0,532.943,533.231,37.5072
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7771794871794873,0.8696525485980764,0,2.1316,5-D,20,20,0,321.57,321.826,62.1453
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.8592307692307692,0.8529023199228568,0,2.1482,5-D,20,20,0,498.164,498.411,40.1276
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7306410256410257,0.5486166355307928,1,1.9341,5-D,20,20,0,543.704,544.104,36.7577
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6624358974358975,0.7688944456939765,0,1.9761,5-D,20,20,0,492.57,492.895,40.5766
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,1.9798,5-D,20,20,0,308.904,309.224,64.6781
0,9000,dci_gated,24,edge,0,0.7607370766594177,1.0,0.8337420285188094,0.7,0.8378205128205128,0.8226057517916933,0,2.0122,5-D,20,20,0,300.506,300.844,66.4797
1,9100,dci_gated,1,edge,0,0.7377621311029372,1.0,0.6065163135330657,0.625,0.7437179487179487,0.7423014877900398,0,,5-D,20,20,0,284.032,284.435,70.3148
1,9100,dci_gated,2,edge,0,0.8023583963705514,1.0,0.7811740311516991,0.75,0.8671794871794872,0.8369013283999008,0,,5-D,20,20,0,381.367,381.714,52.3953
1,9100,dci_gated,3,edge,0,0.8011682796979015,1.0,0.7973637282067566,0.75,0.7776923076923077,0.8264186617196729,0,2.1187,5-D,20,20,0,97.638,97.979,204.1253
1,9100,dci_gated,4,edge,0,0.7266973441742279,1.0,0.8522150475328516,0.625,0.7894871794871796,0.7955404224732043,0,1.8613,5-D,20,20,0,215.493,215.814,92.6723
1,9100,dci_gated,5,geo,1,0.4639699768845813,1.0,0.004989503928299777,0.375,0.7917948717948717,0.5107596257760361,1,1.2668,1-D,20,20,0,6941.612,6942.268,2.8809
1,9100,dci_gated,6,geo,0,0.9599686796632493,1.0,0.8082770218208601,1.0,0.7052564102564103,0.907436035818446,0,1.2807,1-D,20,20,0,2500.79,2501.211,7.9961
1,9100,dci_gated,7,geo,0,0.8592950836629896,1.0,0.6292863483241348,0.875,0.5402564102564104,0.796719502119036,0,1.4172,1-D,20,20,0,773.673,774.057,25.8379
1,9100,dci_gated,8,geo,0,0.8848003962680133,1.0,0.8078315726308664,0.7916666666666667,0.825897435897436,0.8649843623111253,0,1.4382,1-D,20,20,0,1365.292,1365.746,14.644
